Id,name,Age,nationality,club,league,euro_wage,networth,score_of_100
208418,Y. Carrasco,23,Belgium,Atlético Madrid,Spanish Primera División,77000,51500000,85
201535,R. Varane,24,France,Real Madrid CF,Spanish Primera División,175000,46500000,85
200145,Casemiro,25,Brazil,Real Madrid CF,Spanish Primera División,195000,42000000,85
198219,L. Insigne,26,Italy,Napoli,Italian Serie A,115000,45000000,85
193301,A. Lacazette,26,France,Arsenal,English Premier League,180000,48500000,85
193041,K. Navas,30,Costa Rica,Real Madrid CF,Spanish Primera División,165000,24500000,85
192883,H. Mkhitaryan,28,Armenia,Manchester United,English Premier League,195000,39000000,85
192593,D. Subašić,32,Croatia,AS Monaco,French Ligue 1,46000,22000000,85
192563,B. Leno,25,Germany,Bayer 04 Leverkusen,German Bundesliga,61000,34000000,85
192448,M. ter Stegen,25,Germany,FC Barcelona,Spanish Primera División,155000,35500000,85
190547,K. Glik,29,Poland,AS Monaco,French Ligue 1,60000,30000000,85
189332,Jordi Alba,28,Spain,FC Barcelona,Spanish Primera División,215000,30500000,85
186942,I. Gündoğan,26,Germany,Manchester City,English Premier League,190000,46000000,85
184432,Azpilicueta,27,Spain,Chelsea,English Premier League,160000,37500000,85
183898,A. Di María,29,Argentina,Paris Saint-Germain,French Ligue 1,145000,37500000,85
180206,M. Pjanić,27,Bosnia Herzegovina,Juventus,Italian Serie A,160000,43500000,85
173210,C. Marchisio,31,Italy,Juventus,Italian Serie A,160000,33000000,85
172871,J. Vertonghen,30,Belgium,Tottenham Hotspur,English Premier League,130000,28500000,85
170890,B. Matuidi,30,France,Juventus,Italian Serie A,145000,28500000,85
167628,S. Ruffier,30,France,AS Saint-Étienne,French Ligue 1,49000,24500000,85
164169,Filipe Luís,31,Brazil,Atlético Madrid,Spanish Primera División,81000,25000000,85
139720,V. Kompany,31,Belgium,Manchester City,English Premier League,170000,26000000,85
137186,A. Barzagli,36,Italy,Juventus,Italian Serie A,105000,5000000,85
225508,E. Bailly,23,Ivory Coast,Manchester United,English Premier League,150000,35500000,84
220834,Marco Asensio,21,Spain,Real Madrid CF,Spanish Primera División,175000,46000000,84
218667,Bernardo Silva,22,Portugal,Manchester City,English Premier League,165000,43500000,84
212218,A. Laporte,23,France,Athletic Club de Bilbao,Spanish Primera División,36000,35500000,84
211117,D. Alli,21,England,Tottenham Hotspur,English Premier League,115000,43000000,84
208722,S. Mané,25,Senegal,Liverpool,English Premier League,175000,39000000,84
204963,Carvajal,25,Spain,Real Madrid CF,Spanish Primera División,195000,32000000,84
202166,J. Draxler,23,Germany,Paris Saint-Germain,French Ligue 1,120000,39500000,84
201399,M. Icardi,24,Argentina,Inter,Italian Serie A,105000,42000000,84
201153,Morata,24,Spain,Chelsea,English Premier League,170000,41000000,84
201024,K. Koulibaly,26,Senegal,Napoli,Italian Serie A,96000,32500000,84
200316,T. Horn,24,Germany,FC Köln,German Bundesliga,39000,31000000,84
193747,Koke,25,Spain,Atlético Madrid,Spanish Primera División,84000,39500000,84
192774,K. Manolas,26,Greece,Roma,Italian Serie A,96000,31500000,84
192227,S. Mustafi,25,Germany,Arsenal,English Premier League,145000,31500000,84
191740,Ander Herrera,27,Spain,Manchester United,English Premier League,190000,32000000,84
189712,K. Strootman,27,Netherlands,Roma,Italian Serie A,105000,35000000,84
189505,Pedro,29,Spain,Chelsea,English Premier League,200000,30500000,84
189117,R. Bürki,26,Switzerland,Borussia Dortmund,German Bundesliga,69000,26000000,84
184120,Bruno,33,Spain,Villarreal CF,Spanish Primera División,59000,18500000,84
181458,I. Perišić,28,Croatia,Inter,Italian Serie A,110000,31500000,84
180930,E. Džeko,31,Bosnia Herzegovina,Roma,Italian Serie A,115000,28000000,84
180403,Willian,28,Brazil,Chelsea,English Premier League,200000,31500000,84
179846,S. Khedira,30,Germany,Juventus,Italian Serie A,160000,29000000,84
179783,R. Fährmann,28,Germany,FC Schalke 04,German Bundesliga,54000,25000000,84
178750,Sergio Asenjo,28,Spain,Villarreal CF,Spanish Primera División,46000,25000000,84
178088,Juan Mata,29,Spain,Manchester United,English Premier League,195000,30500000,84
177509,M. Benatia,30,Morocco,Juventus,Italian Serie A,145000,23000000,84
177388,D. Payet,30,France,Olympique de Marseille,French Ligue 1,60000,29500000,84
167397,Falcao,31,Colombia,AS Monaco,French Ligue 1,68000,28000000,84
165229,L. Koscielny,31,France,Arsenal,English Premier League,150000,21000000,84
164468,G. Cahill,31,England,Chelsea,English Premier League,160000,21000000,84
146530,Dani Alves,34,Brazil,Paris Saint-Germain,French Ligue 1,115000,9000000,84
143076,A. Gómez,29,Argentina,Atalanta,Italian Serie A,60000,31000000,84
106231,Aduriz,36,Spain,Athletic Club de Bilbao,Spanish Primera División,38000,11000000,84
231747,K. Mbappé,18,France,Paris Saint-Germain,French Ligue 1,31000,41500000,83
231443,O. Dembélé,20,France,FC Barcelona,Spanish Primera División,150000,40000000,83
220971,N. Keïta,22,Guinea,RB Leipzig,German Bundesliga,68000,34000000,83
216460,J. Giménez,22,Uruguay,Atlético Madrid,Spanish Primera División,53000,28500000,83
215316,G. Rulli,25,Argentina,Real Sociedad,Spanish Primera División,28000,25500000,83
213565,T. Lemar,21,France,AS Monaco,French Ligue 1,37000,38500000,83
212814,João Mário,24,Portugal,Inter,Italian Serie A,70000,34000000,83
212190,N. Süle,21,Germany,FC Bayern Munich,German Bundesliga,78000,30500000,83
210257,Ederson,23,Brazil,Manchester City,English Premier League,87000,26000000,83
209499,Fabinho,23,Brazil,AS Monaco,French Ligue 1,37000,29500000,83
209331,M. Salah,25,Egypt,Liverpool,English Premier League,135000,32500000,83
208596,A. Belotti,23,Italy,Torino,Italian Serie A,58000,37000000,83
208448,E. Forsberg,25,Sweden,RB Leipzig,German Bundesliga,75000,31500000,83
207865,Marquinhos,23,Brazil,Paris Saint-Germain,French Ligue 1,75000,30500000,83
207566,William Carvalho,25,Portugal,Sporting CP,Portuguese Primeira Liga,21000,27500000,83
205600,S. Umtiti,23,France,FC Barcelona,Spanish Primera División,135000,29500000,83
204485,R. Mahrez,26,Algeria,Leicester City,English Premier League,88000,30500000,83
203376,V. van Dijk,25,Netherlands,Southampton,English Premier League,89000,27500000,83
201942,Roberto Firmino,25,Brazil,Liverpool,English Premier League,135000,34000000,83
200888,Danilo Pereira,25,Portugal,FC Porto,Portuguese Primeira Liga,18000,27500000,83
199715,Vitolo,27,Spain,UD Las Palmas,Spanish Primera División,68000,27000000,83
199482,A. Lopes,26,Portugal,Olympique Lyonnais,French Ligue 1,60000,22500000,83
198176,S. de Vrij,25,Netherlands,Lazio,Italian Serie A,56000,29000000,83
198009,M. Perin,24,Italy,Genoa,Italian Serie A,28000,25000000,83
197061,J. Matip,25,Cameroon,Liverpool,English Premier League,110000,26500000,83
193474,I. Gueye,27,Senegal,Everton,English Premier League,115000,24500000,83
192629,Iago Aspas,29,Spain,RC Celta de Vigo,Spanish Primera División,39000,26000000,83
192366,N. Otamendi,29,Argentina,Manchester City,English Premier League,140000,20000000,83
191202,N. Matić,28,Serbia,Manchester United,English Premier League,140000,21000000,83
191180,J. Pastore,28,Argentina,Paris Saint-Germain,French Ligue 1,100000,25500000,83
189513,Parejo,28,Spain,Valencia CF,Spanish Primera División,45000,25500000,83
189358,S. Kagawa,28,Japan,Borussia Dortmund,German Bundesliga,75000,26000000,83
189125,G. Bonaventura,27,Italy,Milan,Italian Serie A,115000,26500000,83
189068,B. Dost,28,Netherlands,Sporting CP,Portuguese Primeira Liga,28000,27000000,83
188377,K. Walker,27,England,Manchester City,English Premier League,130000,24000000,83
187936,S. N'Zonzi,28,France,Sevilla FC,Spanish Primera División,25000,21000000,83
186547,M. Musacchio,26,Argentina,Milan,Italian Serie A,105000,27000000,83
185239,O. Toprak,27,Turkey,Borussia Dortmund,German Bundesliga,66000,24500000,83
185020,José Callejón,30,Spain,Napoli,Italian Serie A,87000,24500000,83
184431,S. Giovinco,30,Italy,Toronto FC,USA Major League Soccer,15000,25000000,83
184144,N. Gaitán,29,Argentina,Atlético Madrid,Spanish Primera División,70000,25500000,83
181783,M. Mandžukić,31,Croatia,Juventus,Italian Serie A,135000,23500000,83
180819,A. Lallana,29,England,Liverpool,English Premier League,135000,25000000,83
179784,B. Höwedes,29,Germany,Juventus,Italian Serie A,50000,20000000,83
178562,E. Banega,29,Argentina,Sevilla FC,Spanish Primera División,27000,25500000,83
178005,Rui Patrício,29,Portugal,Sporting CP,Portuguese Primeira Liga,19000,17500000,83
177683,Y. Sommer,28,Switzerland,Borussia Mönchengladbach,German Bundesliga,39000,21000000,83
177358,M. Schneiderlin,27,France,Everton,English Premier League,115000,25500000,83
176769,Jonas,33,Brazil,SL Benfica,Portuguese Primeira Liga,21000,16500000,83
176600,K. Gameiro,30,France,Atlético Madrid,Spanish Primera División,73000,25000000,83
173771,L. Piszczek,32,Poland,Borussia Dortmund,German Bundesliga,66000,14500000,83
170481,E. Garay,30,Argentina,Valencia CF,Spanish Primera División,40000,19000000,83
167905,A. Valencia,31,Ecuador,Manchester United,English Premier League,130000,17000000,83
163587,K. Schmeichel,30,Denmark,Leicester City,English Premier League,65000,19000000,83
162240,M. Dembélé,29,Belgium,Tottenham Hotspur,English Premier League,115000,25000000,83
161956,Borja Valero,32,Spain,Inter,Italian Serie A,80000,20000000,83
159147,L. Perrin,31,France,AS Saint-Étienne,French Ligue 1,46000,17500000,83
158963,L. Biglia,31,Argentina,Milan,Italian Serie A,105000,17500000,83
146760,Juanfran,32,Spain,Atlético Madrid,Spanish Primera División,62000,14500000,83
146748,Diego López,35,Spain,RCD Espanyol,Spanish Primera División,19000,6000000,83
146562,Santi Cazorla,32,Spain,Arsenal,English Premier League,130000,19500000,83
142754,J. Mascherano,33,Argentina,FC Barcelona,Spanish Primera División,155000,10500000,83
139869,W. Sneijder,33,Netherlands,OGC Nice,French Ligue 1,47000,15500000,83
139068,Nani,30,Portugal,Lazio,Italian Serie A,47000,24500000,83
53302,D. De Rossi,33,Italy,Roma,Italian Serie A,73000,10500000,83
24630,José Reina,34,Spain,Napoli,Italian Serie A,59000,10500000,83
20775,Quaresma,33,Portugal,Beşiktaş JK,Turkish Süper Lig,67000,15500000,83
20289,Y. Touré,34,Ivory Coast,Manchester City,English Premier League,145000,12500000,83
5479,Casillas,36,Spain,FC Porto,Portuguese Primeira Liga,10000,3500000,83
230621,G. Donnarumma,18,Italy,Milan,Italian Serie A,35000,28500000,82
222492,L. Sané,21,Germany,Manchester City,English Premier League,125000,34500000,82
219809,T. Bakayoko,22,France,Chelsea,English Premier League,105000,26000000,82
219683,C. Tolisso,22,France,FC Bayern Munich,German Bundesliga,98000,30500000,82
217699,I. Slimani,29,Algeria,Leicester City,English Premier League,100000,22000000,82
216594,N. Fekir,23,France,Olympique Lyonnais,French Ligue 1,70000,28000000,82
216451,J. Seri,25,Ivory Coast,OGC Nice,French Ligue 1,45000,26000000,82
215785,K. Baldé Diao,22,Senegal,AS Monaco,French Ligue 1,46000,32500000,82
213331,J. Tah,21,Germany,Bayer 04 Leverkusen,German Bundesliga,47000,26000000,82
212404,F. Bernardeschi,23,Italy,Juventus,Italian Serie A,110000,30500000,82
212188,T. Werner,21,Germany,RB Leipzig,German Bundesliga,68000,30500000,82
211575,André Gomes,23,Portugal,FC Barcelona,Spanish Primera División,150000,30000000,82
211300,A. Martial,21,France,Manchester United,English Premier League,115000,33000000,82
209658,L. Goretzka,22,Germany,FC Schalke 04,German Bundesliga,46000,30000000,82
208808,Q. Promes,25,Netherlands,Spartak Moscow,Russian Premier League,76000,28000000,82
208618,Lucas Vázquez,26,Spain,Real Madrid CF,Spanish Primera División,185000,26000000,82
208421,Saúl,22,Spain,Atlético Madrid,Spanish Primera División,59000,32000000,82
207863,Felipe,28,Brazil,FC Porto,Portuguese Primeira Liga,20000,18000000,82
207664,C. Bacca,30,Colombia,Villarreal CF,Spanish Primera División,125000,21500000,82
207471,F. Vázquez,28,Italy,Sevilla FC,Spanish Primera División,27000,22500000,82
207410,M. Kovačić,23,Croatia,Real Madrid CF,Spanish Primera División,150000,30000000,82
206652,Sergio Rico,23,Spain,Sevilla FC,Spanish Primera División,16000,21500000,82
206545,Manu Trigueros,25,Spain,Villarreal CF,Spanish Primera División,43000,27500000,82
205452,A. Rüdiger,24,Germany,Chelsea,English Premier League,105000,24500000,82
204970,F. Thauvin,24,France,Olympique de Marseille,French Ligue 1,40000,28000000,82
204639,S. Savić,26,Montenegro,Atlético Madrid,Spanish Primera División,62000,24000000,82
204525,Iñigo Martínez,26,Spain,Real Sociedad,Spanish Primera División,37000,24000000,82
204277,Roque Mesa,28,Spain,Swansea City,English Premier League,85000,18000000,82
203551,A. Florenzi,26,Italy,Roma,Italian Serie A,73000,22000000,82
203483,D. Klaassen,24,Netherlands,Everton,English Premier League,110000,27500000,82
202857,K. Bellarabi,27,Germany,Bayer 04 Leverkusen,German Bundesliga,67000,23000000,82
202652,R. Sterling,22,England,Manchester City,English Premier League,140000,29500000,82
202651,Suso,23,Spain,Milan,Italian Serie A,110000,29500000,82
202477,Deulofeu,23,Spain,FC Barcelona,Spanish Primera División,165000,31000000,82
202335,E. Dier,23,England,Tottenham Hotspur,English Premier League,85000,25000000,82
201862,M. Rojo,27,Argentina,Manchester United,English Premier League,130000,21000000,82
200949,Lucas,24,Brazil,Paris Saint-Germain,French Ligue 1,92000,28000000,82
200104,H. Son,24,Korea Republic,Tottenham Hotspur,English Premier League,95000,28000000,82
199845,F. Acerbi,29,Italy,Sassuolo,Italian Serie A,68000,17000000,82
199503,G. Xhaka,24,Switzerland,Arsenal,English Premier League,110000,27500000,82
198164,Jonathan Viera,27,Spain,UD Las Palmas,Spanish Primera División,31000,23000000,82
197965,Pizzi,27,Portugal,SL Benfica,Portuguese Primeira Liga,19000,23000000,82
195093,Willian José,25,Brazil,Real Sociedad,Spanish Primera División,42000,29000000,82
193698,O. Baumann,27,Germany,TSG 1899 Hoffenheim,German Bundesliga,37000,18000000,82
193532,G. Medel,29,Chile,Beşiktaş JK,Turkish Süper Lig,64000,17000000,82
193469,Víctor Ruíz,28,Spain,Villarreal CF,Spanish Primera División,43000,20000000,82
193348,X. Shaqiri,25,Switzerland,Stoke City,English Premier League,85000,28000000,82
193082,J. Cuadrado,29,Colombia,Juventus,Italian Serie A,130000,21500000,82
192387,C. Immobile,27,Italy,Lazio,Italian Serie A,70000,26000000,82
190483,Douglas Costa,26,Brazil,Juventus,Italian Serie A,115000,24000000,82
190456,N. Clyne,26,England,Liverpool,English Premier League,115000,22000000,82
189560,Iborra,29,Spain,Leicester City,English Premier League,85000,17000000,82
188943,K. Trapp,26,Germany,Paris Saint-Germain,French Ligue 1,71000,18500000,82
188942,V. Wanyama,26,Kenya,Tottenham Hotspur,English Premier League,99000,23000000,82
188803,Taison,29,Brazil,Shakhtar Donetsk,Ukrainian Premier League,1000,21500000,82
187754,Marlos,29,Brazil,Shakhtar Donetsk,Ukrainian Premier League,1000,21500000,82
187072,L. Stindl,28,Germany,Borussia Mönchengladbach,German Bundesliga,56000,23000000,82
186627,M. Balotelli,26,Italy,OGC Nice,French Ligue 1,51000,24500000,82
186561,A. Ramsey,26,Wales,Arsenal,English Premier League,130000,25500000,82
186153,W. Szczęsny,27,Poland,Juventus,Italian Serie A,90000,18000000,82
184484,G. Sigurðsson,27,Iceland,Everton,English Premier League,130000,23000000,82
184267,Y. Brahimi,27,Algeria,FC Porto,Portuguese Primeira Liga,21000,23000000,82
184200,M. Arnautović,28,Austria,West Ham United,English Premier League,125000,22500000,82
183711,J. Henderson,27,England,Liverpool,English Premier League,115000,21500000,82
183574,M. Kruse,29,Germany,SV Werder Bremen,German Bundesliga,47000,22000000,82
183497,O. Karnezis,31,Greece,Watford,English Premier League,30000,13500000,82
183376,L. Fejsa,28,Serbia,SL Benfica,Portuguese Primeira Liga,18000,18000000,82
182494,F. Muslera,31,Uruguay,Galatasaray SK,Turkish Süper Lig,57000,13500000,82
181786,V. Ćorluka,31,Croatia,Lokomotiv Moscow,Russian Premier League,54000,15000000,82
181291,G. Wijnaldum,26,Netherlands,Liverpool,English Premier League,130000,27000000,82
179847,F. Fazio,30,Argentina,Roma,Italian Serie A,73000,16500000,82
178509,O. Giroud,30,France,Arsenal,English Premier League,140000,21500000,82
178372,B. Ivanović,33,Serbia,Zenit St. Petersburg,Russian Premier League,73000,9000000,82
178224,J. Hernández,29,Mexico,West Ham United,English Premier League,135000,22000000,82
177600,Beñat,30,Spain,Athletic Club de Bilbao,Spanish Primera División,35000,20500000,82
177457,L. Bender,28,Germany,Bayer 04 Leverkusen,German Bundesliga,64000,20000000,82
174543,C. Bravo,34,Chile,Manchester City,English Premier League,110000,9000000,82
172723,A. Begović,30,Bosnia Herzegovina,Bournemouth,English Premier League,64000,14000000,82
171919,Naldo,34,Brazil,FC Schalke 04,German Bundesliga,48000,6500000,82
171833,D. Sturridge,27,England,Liverpool,English Premier League,140000,23500000,82
169595,D. Rose,26,England,Tottenham Hotspur,English Premier League,99000,21000000,82
169416,C. Vela,28,Mexico,Real Sociedad,Spanish Primera División,46000,22500000,82
168354,E. Viviano,31,Italy,Sampdoria,Italian Serie A,37000,13500000,82
167431,G. Castro,30,Germany,Borussia Dortmund,German Bundesliga,72000,20500000,82
165239,S. Nasri,30,France,Antalyaspor,Turkish Süper Lig,29000,21000000,82
163824,A. Williams,32,Wales,Everton,English Premier League,115000,12500000,82
163705,S. Mandanda,32,France,Olympique de Marseille,French Ligue 1,31000,12500000,82
163631,L. Baines,32,England,Everton,English Premier League,115000,12500000,82
163489,A. Consigli,30,Italy,Sassuolo,Italian Serie A,52000,14000000,82
162347,João Moutinho,30,Portugal,AS Monaco,French Ligue 1,48000,20500000,82
158121,B. Costil,29,France,Girondins de Bordeaux,French Ligue 1,46000,15000000,82
157481,Raúl Albiol,31,Spain,Napoli,Italian Serie A,73000,15000000,82
150724,J. Hart,30,England,West Ham United,English Premier League,110000,14000000,82
150418,M. Gómez,31,Germany,VfL Wolfsburg,German Bundesliga,85000,20000000,82
144622,Raffael,32,Brazil,Borussia Mönchengladbach,German Bundesliga,54000,17500000,82
143745,A. Turan,30,Turkey,FC Barcelona,Spanish Primera División,170000,20500000,82
135507,Fernandinho,32,Brazil,Manchester City,English Premier League,130000,12500000,82
113422,David Villa,35,Spain,New York City Football Club,USA Major League Soccer,12000,10000000,82
108080,S. Lichtsteiner,33,Switzerland,Juventus,Italian Serie A,115000,8500000,82
104389,R. Jarstein,32,Norway,Hertha BSC Berlin,German Bundesliga,30000,12500000,82
230666,Gabriel Jesus,20,Brazil,Manchester City,English Premier League,115000,31000000,81
227928,Nélson Semedo,23,Portugal,FC Barcelona,Spanish Primera División,125000,20500000,81
227055,Gelson Martins,22,Portugal,Sporting CP,Portuguese Primeira Liga,20000,25000000,81
222737,Malcom,20,Brazil,Girondins de Bordeaux,French Ligue 1,47000,24500000,81
222028,J. Weigl,21,Germany,Borussia Dortmund,German Bundesliga,46000,21000000,81
220793,D. Sánchez,21,Colombia,Tottenham Hotspur,English Premier League,70000,21500000,81
216354,A. Kramarić,26,Croatia,TSG 1899 Hoffenheim,German Bundesliga,50000,22000000,81
216352,M. Brozović,24,Croatia,Inter,Italian Serie A,64000,23000000,81
216201,Williams,23,Spain,Athletic Club de Bilbao,Spanish Primera División,31000,24500000,81
216194,Dani García,27,Spain,SD Eibar,Spanish Primera División,26000,17000000,81
213661,A. Christensen,21,Denmark,Chelsea,English Premier League,86000,23000000,81
212622,J. Kimmich,22,Germany,FC Bayern Munich,German Bundesliga,81000,20500000,81
211368,Bruma,22,Portugal,RB Leipzig,German Bundesliga,63000,24000000,81
210935,D. Berardi,22,Italy,Sassuolo,Italian Serie A,62000,24500000,81
210896,M. Sanson,22,France,Olympique de Marseille,French Ligue 1,34000,24000000,81
210008,A. Rabiot,22,France,Paris Saint-Germain,French Ligue 1,77000,23500000,81
209889,R. Guerreiro,23,Portugal,Borussia Dortmund,German Bundesliga,58000,24000000,81
208830,J. Vardy,30,England,Leicester City,English Premier League,89000,17000000,81
208670,H. Ziyech,24,Morocco,Ajax,Holland Eredivisie,16000,23000000,81
207599,M. Keane,24,England,Everton,English Premier League,91000,21000000,81
205498,Jorginho,25,Italy,Napoli,Italian Serie A,71000,22000000,81
203747,Héctor Bellerín,22,Spain,Arsenal,English Premier League,91000,21000000,81
203042,J. Butland,24,England,Stoke City,English Premier League,50000,18000000,81
202685,S. Zaza,26,Italy,Valencia CF,Spanish Primera División,44000,21000000,81
202371,T. Meunier,25,Belgium,Paris Saint-Germain,French Ligue 1,77000,18500000,81
201995,Felipe Anderson,24,Brazil,Lazio,Italian Serie A,57000,24000000,81
201400,Rafinha,24,Brazil,FC Barcelona,Spanish Primera División,140000,23500000,81
200724,Nacho Fernández,27,Spain,Real Madrid CF,Spanish Primera División,145000,17500000,81
199987,J. Cillessen,28,Netherlands,FC Barcelona,Spanish Primera División,125000,15000000,81
199564,Sergi Roberto,25,Spain,FC Barcelona,Spanish Primera División,140000,19500000,81
199451,W. Ben Yedder,26,France,Sevilla FC,Spanish Primera División,26000,21000000,81
199354,Lucas Pérez,28,Spain,RC Deportivo de La Coruña,Spanish Primera División,135000,18500000,81
199189,R. Barkley,23,England,Everton,English Premier League,105000,24000000,81
198951,C. Bakambu,26,DR Congo,Villarreal CF,Spanish Primera División,45000,22500000,81
198717,W. Zaha,24,Ivory Coast,Crystal Palace,English Premier League,60000,22500000,81
198141,Bartra,26,Spain,Borussia Dortmund,German Bundesliga,61000,18000000,81
197853,S. Aurier,24,Ivory Coast,Tottenham Hotspur,English Premier League,79000,19000000,81
197655,S. Coates,26,Uruguay,Sporting CP,Portuguese Primeira Liga,21000,18000000,81
197242,G. Krychowiak,27,Poland,West Bromwich Albion,English Premier League,81000,17500000,81
195365,K. Kampl,26,Slovenia,RB Leipzig,German Bundesliga,73000,21000000,81
195086,D. Lovren,27,Croatia,Liverpool,English Premier League,110000,17500000,81
194794,A. Yarmolenko,27,Ukraine,Borussia Dortmund,German Bundesliga,72000,18500000,81
