"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"8600000US53168","ZCTA5 53168","3420","192","3.1","1.8","1.6","1.0","5.6","2.3","7.1","1.8","9.3","2.5","20.7","4.0","15.3","3.9","20.1","3.5","10.6","2.1","6.5","1.9","77588","5981","95790","5837","29.3","(X)","(X)","(X)","(X)","(X)","2312","191","1.4","1.8","1.1","0.9","2.2","1.5","4.1","1.7","6.7","2.8","21.4","4.9","15.1","4.4","26.3","4.6","12.7","3.1","8.9","2.7","95738","8059","112756","8289","(X)","(X)","31.4","(X)","(X)","(X)","1903","175","1.7","2.1","1.0","1.0","1.1","1.1","2.5","1.5","6.6","2.8","18.4","4.9","12.8","4.2","29.8","5.0","15.4","3.7","10.7","3.4","107868","9854","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1108","170","6.7","4.1","2.6","2.1","13.2","6.0","14.1","4.5","16.4","6.0","19.6","5.9","13.0","6.7","7.2","3.6","6.3","3.9","0.9","1.6","45469","9635","57998","7057","(X)","(X)","(X)","(X)","24.8","(X)"
"8600000US53170","ZCTA5 53170","873","97","2.6","2.3","3.9","3.8","9.0","4.0","4.7","2.8","11.6","5.1","23.3","7.9","11.9","4.5","16.3","6.0","11.0","4.7","5.7","3.0","66336","10222","91261","10287","16.0","(X)","(X)","(X)","(X)","(X)","548","92","1.3","2.1","0.0","3.1","3.6","4.0","4.6","4.6","11.9","6.8","20.4","8.6","8.8","5.1","23.7","9.3","16.6","6.9","9.1","4.7","96964","36136","115572","15416","(X)","(X)","21.5","(X)","(X)","(X)","465","82","1.5","2.4","0.0","3.7","1.3","1.9","1.1","1.7","8.6","7.1","21.5","9.9","9.2","5.7","26.5","10.2","19.6","8.0","10.8","5.7","118708","13248","N","N","(X)","(X)","(X)","(X)","(X)","(X)","325","80","4.9","5.5","10.5","10.1","18.2","7.6","9.2","8.4","11.1","7.6","23.7","14.1","17.2","8.4","3.7","4.2","1.5","2.3","0.0","5.2","40938","26967","48829","7642","(X)","(X)","(X)","(X)","6.8","(X)"
"8600000US53172","ZCTA5 53172","8607","209","5.0","1.5","4.3","1.2","11.4","1.9","9.7","1.7","16.6","2.4","19.8","2.4","14.0","2.1","13.7","2.1","3.1","0.7","2.4","0.8","52678","3520","66639","3427","31.4","(X)","(X)","(X)","(X)","(X)","5280","202","3.7","1.6","3.4","1.7","8.8","2.1","7.9","2.2","14.0","2.7","20.9","3.2","16.2","2.4","18.0","2.8","4.0","1.2","3.3","1.2","63198","5829","74952","4253","(X)","(X)","31.6","(X)","(X)","(X)","3683","216","1.5","1.5","1.3","1.1","6.1","2.4","7.5","2.6","12.8","3.3","18.7","3.7","19.3","3.1","23.1","3.8","5.3","1.6","4.4","1.6","78088","6359","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3327","297","9.0","3.1","7.2","2.9","16.1","3.6","12.0","3.3","18.8","4.0","20.0","4.0","10.5","3.1","5.0","2.3","0.6","0.7","0.7","0.6","38882","5500","49047","5298","(X)","(X)","(X)","(X)","28.1","(X)"
"8600000US53177","ZCTA5 53177","2545","182","2.8","1.7","0.4","0.6","7.3","2.8","12.2","4.4","12.8","4.2","20.0","5.0","15.2","4.2","21.3","4.3","5.5","2.0","2.3","1.4","65671","8160","79361","5056","36.7","(X)","(X)","(X)","(X)","(X)","1694","145","1.7","1.7","0.0","1.0","4.6","3.1","10.9","4.4","12.8","5.0","18.0","5.7","16.0","5.2","25.4","6.2","7.4","3.0","3.2","2.2","80395","11674","88769","7442","(X)","(X)","39.0","(X)","(X)","(X)","1312","141","0.7","1.0","0.0","1.3","4.3","3.7","9.1","5.1","9.6","4.3","14.6","5.2","17.1","6.4","31.4","6.9","9.1","3.9","4.1","2.8","92286","6577","N","N","(X)","(X)","(X)","(X)","(X)","(X)","851","149","5.5","4.7","1.2","1.8","12.8","7.0","18.6","9.8","16.0","7.2","18.6","7.0","11.8","6.5","14.3","6.2","1.3","2.1","0.0","2.0","45819","8718","57048","7397","(X)","(X)","(X)","(X)","32.2","(X)"
"8600000US53178","ZCTA5 53178","1151","79","2.3","1.3","3.3","1.6","10.0","4.4","9.3","2.7","12.9","3.8","21.5","4.8","14.6","3.6","19.1","4.5","4.9","2.0","2.2","2.0","65841","3381","74411","5795","28.3","(X)","(X)","(X)","(X)","(X)","799","66","1.9","1.6","0.0","2.2","8.5","5.8","5.5","2.6","10.0","4.0","22.7","6.0","17.8","5.4","23.5","5.4","7.0","2.8","3.1","2.8","76917","9886","86660","8175","(X)","(X)","26.8","(X)","(X)","(X)","645","53","1.1","1.3","0.0","2.7","6.8","5.4","4.2","2.4","7.8","3.3","22.6","6.6","16.6","4.6","29.1","6.5","7.9","3.4","3.9","3.5","85446","8980","N","N","(X)","(X)","(X)","(X)","(X)","(X)","352","63","3.1","2.7","10.8","5.0","14.8","5.9","18.8","6.6","24.7","9.9","13.9","7.4","6.5","3.2","7.4","7.3","0.0","4.8","0.0","4.8","35978","3483","43258","6210","(X)","(X)","(X)","(X)","28.4","(X)"
"8600000US53179","ZCTA5 53179","2520","174","2.5","2.1","2.5","2.6","10.1","6.0","4.7","2.7","6.9","4.2","21.3","6.7","16.6","4.2","21.0","5.9","5.3","2.5","9.0","3.3","77535","8524","91253","8284","34.6","(X)","(X)","(X)","(X)","(X)","2018","159","1.0","1.1","2.2","3.1","3.7","2.8","5.4","4.8","9.2","5.8","20.2","7.9","18.4","6.6","23.3","7.1","5.8","3.0","10.9","4.0","84432","13022","100782","9401","(X)","(X)","29.1","(X)","(X)","(X)","1517","209","0.7","1.0","0.0","1.1","3.0","2.6","1.1","1.6","3.4","2.7","21.0","9.2","19.8","7.2","29.3","8.6","7.3","3.8","14.4","5.3","101331","12469","N","N","(X)","(X)","(X)","(X)","(X)","(X)","502","195","8.6","10.6","4.0","4.8","35.7","23.1","17.5","14.6","3.0","4.2","13.1","13.1","12.5","7.3","3.8","5.0","0.0","3.4","1.8","2.7","30114","14296","40276","11698","(X)","(X)","(X)","(X)","51.0","(X)"
"8600000US53181","ZCTA5 53181","2844","164","2.7","2.1","3.8","1.9","4.1","1.8","10.3","3.1","13.9","4.2","18.7","3.7","15.6","3.6","15.2","3.6","6.9","3.8","8.6","2.3","69402","4401","97209","9208","29.1","(X)","(X)","(X)","(X)","(X)","1986","126","3.3","3.0","1.5","1.4","4.3","2.1","8.6","3.5","9.4","4.1","18.6","4.7","15.8","4.5","19.1","5.1","9.5","5.2","9.9","3.1","85405","9306","104069","10026","(X)","(X)","31.0","(X)","(X)","(X)","1504","140","0.6","0.9","0.0","1.2","2.1","1.9","4.9","3.1","10.6","4.5","19.8","5.4","14.4","4.8","22.3","5.7","12.6","6.6","12.6","4.2","96455","10620","N","N","(X)","(X)","(X)","(X)","(X)","(X)","858","142","2.3","2.3","9.2","5.4","5.5","3.8","18.4","7.8","22.6","8.4","16.4","6.9","13.4","5.0","5.5","3.5","1.4","1.6","5.2","4.0","44947","6085","77671","22896","(X)","(X)","(X)","(X)","22.3","(X)"
"8600000US53182","ZCTA5 53182","3349","188","3.3","1.8","4.9","2.8","7.9","3.4","6.2","2.9","7.2","3.1","23.6","4.9","11.6","3.4","21.1","5.0","8.4","2.2","5.9","1.6","72536","7516","94292","7575","30.3","(X)","(X)","(X)","(X)","(X)","2354","136","1.1","1.4","5.7","2.5","6.4","4.6","6.5","3.9","4.6","1.7","18.7","4.7","13.6","4.4","26.1","6.4","10.5","3.1","6.7","1.9","88611","10832","103997","8892","(X)","(X)","30.5","(X)","(X)","(X)","1872","147","1.4","1.7","2.9","2.4","1.1","1.2","2.3","1.5","4.4","2.1","19.6","5.5","16.0","5.3","30.9","7.3","13.0","4.0","8.4","2.4","105625","15665","N","N","(X)","(X)","(X)","(X)","(X)","(X)","995","194","8.6","4.8","7.1","7.7","16.4","9.3","5.5","3.2","7.0","3.5","33.7","12.5","7.0","4.1","8.3","6.2","2.7","3.9","3.5","3.0","52083","12187","64776","14701","(X)","(X)","(X)","(X)","29.0","(X)"
"8600000US53183","ZCTA5 53183","1081","73","0.7","0.9","3.3","2.1","3.6","2.0","5.0","3.3","6.8","3.4","10.9","4.0","17.5","4.8","26.0","5.6","11.1","4.3","15.1","4.9","102554","6665","141469","19945","26.5","(X)","(X)","(X)","(X)","(X)","876","73","1.1","1.4","1.8","1.7","3.4","1.8","1.5","1.5","6.5","3.7","8.7","4.4","16.6","5.1","29.8","6.3","12.8","4.9","17.8","6.2","107446","13418","157388","25724","(X)","(X)","24.3","(X)","(X)","(X)","758","76","0.7","1.1","0.5","0.9","2.1","1.8","1.1","1.2","5.0","3.7","8.7","4.8","14.2","4.9","33.1","7.6","14.0","5.4","20.6","7.1","118875","7793","N","N","(X)","(X)","(X)","(X)","(X)","(X)","205","56","1.5","2.1","9.8","7.3","3.4","5.2","20.0","14.6","7.8","7.1","20.5","10.6","21.5","14.9","10.2","7.8","2.0","3.6","3.4","4.9","55625","16744","70798","18285","(X)","(X)","(X)","(X)","33.2","(X)"
"8600000US53184","ZCTA5 53184","1576","81","5.3","2.1","3.7","1.7","8.6","3.3","10.9","3.5","13.0","3.6","21.2","4.2","12.6","3.1","18.5","4.2","4.2","1.5","1.9","1.0","57400","5959","71067","5154","36.2","(X)","(X)","(X)","(X)","(X)","1081","59","1.2","1.1","3.7","3.9","6.0","3.4","11.0","4.9","10.7","3.6","20.0","4.9","15.4","4.2","24.7","5.9","5.4","2.0","1.9","1.1","71797","9706","81328","6982","(X)","(X)","35.0","(X)","(X)","(X)","835","79","0.4","0.5","0.6","0.9","6.2","4.0","8.5","4.3","10.1","4.2","18.7","5.9","18.3","4.9","28.1","6.8","6.6","2.5","2.5","1.4","80288","10702","N","N","(X)","(X)","(X)","(X)","(X)","(X)","495","79","14.3","6.3","10.9","5.1","11.1","5.6","11.7","4.9","15.2","6.4","21.6","6.9","9.5","6.0","4.2","2.9","0.8","1.1","0.6","0.8","40583","14575","44547","6564","(X)","(X)","(X)","(X)","37.6","(X)"
"8600000US53185","ZCTA5 53185","7326","234","2.5","1.0","1.5","0.9","4.3","1.3","4.7","1.4","9.1","2.3","14.5","2.4","16.4","2.7","26.1","2.8","10.9","2.1","10.0","1.7","95259","4205","111398","5737","31.2","(X)","(X)","(X)","(X)","(X)","5755","219","1.1","1.0","0.7","0.7","2.4","1.0","1.8","0.9","8.8","2.6","13.7","2.4","17.4","2.8","29.1","3.5","13.3","2.6","11.6","2.1","105620","6857","123521","6572","(X)","(X)","28.6","(X)","(X)","(X)","4912","229","0.2","0.3","0.7","0.8","1.9","0.9","1.6","0.9","7.5","2.7","12.5","2.4","15.0","2.8","33.1","3.7","14.4","3.0","13.1","2.4","113354","3904","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1571","231","9.7","4.2","4.6","3.6","12.1","4.8","15.2","5.0","13.7","4.9","16.4","5.4","12.3","5.1","10.8","4.1","1.7","1.3","3.6","3.1","43495","9637","60538","9937","(X)","(X)","(X)","(X)","37.2","(X)"
"8600000US53186","ZCTA5 53186","13933","359","3.9","0.9","5.3","1.2","9.6","1.7","7.1","1.3","12.4","1.5","21.5","1.9","14.7","1.8","15.4","1.7","6.4","1.2","3.7","0.9","62271","3992","77453","3259","30.0","(X)","(X)","(X)","(X)","(X)","7867","327","1.3","0.6","4.1","1.8","6.0","1.9","3.8","1.2","6.9","1.2","21.0","2.7","17.8","2.3","22.3","2.7","10.9","2.0","5.8","1.6","83647","4744","98088","4510","(X)","(X)","29.7","(X)","(X)","(X)","6161","306","0.5","0.5","1.0","0.8","2.0","1.1","2.7","1.1","5.3","1.3","21.6","2.9","19.8","2.5","26.7","3.4","13.1","2.5","7.2","2.0","95448","4290","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6066","339","7.6","1.8","7.3","1.9","16.0","3.0","11.9","2.4","19.8","3.2","20.2","3.4","10.1","2.4","5.8","1.8","0.5","0.5","0.8","0.6","40516","2283","48547","4217","(X)","(X)","(X)","(X)","30.1","(X)"
"8600000US53188","ZCTA5 53188","14413","339","4.4","1.2","3.6","1.0","8.1","1.7","8.2","1.6","12.4","2.0","17.2","2.0","13.3","2.0","18.7","2.1","7.2","1.3","7.0","1.2","68762","5647","90282","3882","29.0","(X)","(X)","(X)","(X)","(X)","9151","343","2.8","1.5","1.4","0.9","2.8","1.4","5.9","1.7","9.0","2.2","15.7","2.4","15.3","2.7","25.8","3.2","10.7","2.0","10.4","1.9","94306","5901","111585","5872","(X)","(X)","27.5","(X)","(X)","(X)","7557","326","1.1","0.7","0.5","0.5","1.1","0.7","5.3","1.9","6.7","2.4","14.9","2.6","16.1","3.0","29.5","3.6","12.5","2.4","12.4","2.2","106354","5665","N","N","(X)","(X)","(X)","(X)","(X)","(X)","5262","407","8.5","2.7","7.3","2.3","17.5","3.9","13.2","3.1","18.7","3.8","18.0","4.0","8.7","2.3","6.5","2.4","0.6","0.6","1.0","0.8","36525","2346","50795","5792","(X)","(X)","(X)","(X)","30.8","(X)"
"8600000US53189","ZCTA5 53189","9891","310","3.3","1.3","1.1","0.5","4.4","1.5","4.9","1.5","7.4","1.5","19.0","2.4","14.2","2.0","24.9","2.7","12.4","1.8","8.4","1.4","91325","3894","108895","4833","28.0","(X)","(X)","(X)","(X)","(X)","7642","302","1.8","1.2","0.4","0.3","2.9","1.7","3.2","1.2","5.3","1.8","17.3","2.7","15.5","2.3","28.3","3.5","14.9","2.2","10.4","1.8","104730","4241","122679","5690","(X)","(X)","27.0","(X)","(X)","(X)","6313","296","1.0","0.6","0.4","0.4","1.1","0.7","2.5","1.1","3.9","1.8","14.2","2.3","16.7","2.7","30.6","3.4","17.6","2.6","12.1","2.2","112442","4982","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2249","249","8.5","3.6","3.7","2.1","12.0","4.2","11.2","4.4","15.3","4.2","23.9","5.8","9.9","3.6","11.4","3.6","3.9","1.9","0.2","0.4","48750","5704","57307","4206","(X)","(X)","(X)","(X)","28.9","(X)"
"8600000US53190","ZCTA5 53190","6497","297","12.6","2.4","6.6","2.3","9.0","2.1","10.6","2.3","12.9","2.7","20.1","3.0","10.8","1.8","10.2","1.7","3.6","1.0","3.6","0.9","48258","6235","62922","4094","38.9","(X)","(X)","(X)","(X)","(X)","3220","205","1.0","1.0","7.0","2.8","3.8","1.8","9.2","3.1","11.8","2.8","21.3","3.5","18.8","3.5","15.7","2.7","5.0","1.2","6.4","1.7","70573","4848","84973","5840","(X)","(X)","37.3","(X)","(X)","(X)","2356","132","0.7","1.1","0.8","0.8","1.7","1.0","5.8","3.2","12.0","3.3","21.3","3.5","23.3","4.6","19.7","3.3","6.6","1.6","8.3","2.2","85767","4223","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3277","312","24.4","4.3","9.0","3.1","13.6","3.6","13.8","3.9","13.1","3.6","16.4","4.2","3.1","1.2","3.6","2.0","2.2","1.5","0.7","0.5","26325","2311","38756","5392","(X)","(X)","(X)","(X)","39.8","(X)"
"8600000US53191","ZCTA5 53191","1251","98","2.2","1.8","5.0","4.5","14.5","5.3","10.9","4.4","12.7","3.8","12.9","4.2","9.1","3.8","17.1","5.4","6.4","2.5","9.1","3.4","58144","10013","89462","12165","28.5","(X)","(X)","(X)","(X)","(X)","785","89","1.0","1.4","0.9","1.3","8.8","4.8","5.4","3.8","11.5","5.0","13.9","5.5","12.9","4.9","21.7","7.2","10.2","4.1","13.9","5.5","90250","12467","117200","16465","(X)","(X)","28.9","(X)","(X)","(X)","622","93","1.3","1.8","0.0","2.8","3.2","3.1","2.7","2.4","12.1","5.8","9.6","4.2","15.1","6.3","26.4","8.8","12.1","4.8","17.5","6.8","110278","18560","N","N","(X)","(X)","(X)","(X)","(X)","(X)","466","113","4.3","4.5","13.5","11.1","25.8","10.7","19.5","9.5","14.8","6.0","12.9","7.5","4.3","3.6","3.9","3.2","0.0","3.7","1.1","1.9","26596","4143","38932","8622","(X)","(X)","(X)","(X)","26.2","(X)"
"8600000US53192","ZCTA5 53192","0","9","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","(X)","(X)","0","9","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","-","(X)","(X)","(X)","0","9","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)","0","9","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","-","(X)"
"8600000US53195","ZCTA5 53195","77","29","0.0","20.2","16.9","24.2","15.6","19.2","11.7","10.7","3.9","6.3","32.5","27.3","11.7","12.9","7.8","9.0","0.0","20.2","0.0","20.2","60341","54091","50192","16614","53.2","(X)","(X)","(X)","(X)","(X)","47","26","0.0","30.1","27.7","33.8","21.3","30.4","6.4","11.6","6.4","10.7","6.4","11.5","19.1","20.5","12.8","14.8","0.0","30.1","0.0","30.1","-","**","48572","24478","(X)","(X)","51.1","(X)","(X)","(X)","47","26","0.0","30.1","27.7","33.8","21.3","30.4","6.4","11.6","6.4","10.7","6.4","11.5","19.1","20.5","12.8","14.8","0.0","30.1","0.0","30.1","-","**","N","N","(X)","(X)","(X)","(X)","(X)","(X)","30","24","0.0","39.7","0.0","39.7","6.7","21.0","20.0","27.6","0.0","39.7","73.3","34.6","0.0","39.7","0.0","39.7","0.0","39.7","0.0","39.7","61591","21058","52730","13177","(X)","(X)","(X)","(X)","56.7","(X)"
"8600000US53202","ZCTA5 53202","15696","373","8.2","1.4","7.6","1.4","10.5","1.6","7.9","1.5","11.5","1.7","17.0","1.9","11.3","1.6","14.0","1.8","5.8","1.1","6.1","1.0","55606","3444","84197","6204","25.6","(X)","(X)","(X)","(X)","(X)","2674","260","1.7","1.4","0.6","0.8","2.4","1.7","2.5","1.5","4.7","2.7","12.0","2.9","12.1","3.8","26.4","4.9","15.8","4.0","21.8","4.4","124242","9937","185098","26795","(X)","(X)","25.8","(X)","(X)","(X)","2309","255","1.2","1.4","0.7","1.0","1.6","1.7","2.2","1.5","4.3","3.0","9.9","3.2","11.7","4.0","26.7","5.3","18.3","4.8","23.4","4.8","131123","9387","N","N","(X)","(X)","(X)","(X)","(X)","(X)","13022","447","9.6","1.7","9.0","1.7","12.2","1.9","9.0","1.8","12.9","1.9","18.1","2.2","11.1","1.8","11.6","1.9","3.5","1.0","2.9","0.8","46647","2870","63215","3980","(X)","(X)","(X)","(X)","25.3","(X)"
"8600000US53203","ZCTA5 53203","985","98","8.2","4.0","3.8","3.6","7.0","4.2","3.9","3.0","13.1","5.4","17.3","6.0","10.2","4.7","14.5","5.4","13.6","5.6","8.5","3.8","72159","14002","100335","14664","21.8","(X)","(X)","(X)","(X)","(X)","229","65","11.4","10.0","0.0","7.4","2.2","3.5","4.8","8.3","2.2","3.7","9.2","10.2","12.7","11.5","16.6","14.0","28.4","17.9","12.7","12.3","124904","47023","157150","53904","(X)","(X)","19.7","(X)","(X)","(X)","165","56","0.0","10.1","0.0","10.1","3.0","4.8","6.7","11.2","3.0","5.0","3.6","5.4","6.7","9.6","20.0","17.6","39.4","24.0","17.6","16.8","180221","63120","N","N","(X)","(X)","(X)","(X)","(X)","(X)","756","90","7.3","4.5","4.9","4.6","8.5","5.3","3.6","2.9","16.4","6.9","19.7","7.4","9.4","5.0","13.9","5.3","9.1","5.3","7.3","4.6","62143","10956","83125","12600","(X)","(X)","(X)","(X)","22.5","(X)"
"8600000US53204","ZCTA5 53204","13073","382","14.3","2.2","10.5","1.9","15.3","2.2","15.9","2.0","14.5","1.8","14.1","2.0","6.9","1.4","5.1","1.1","1.9","0.6","1.4","0.4","31446","1135","46038","3584","46.1","(X)","(X)","(X)","(X)","(X)","7528","380","16.0","2.4","6.5","1.9","16.4","3.0","16.5","2.8","15.5","2.9","14.2","2.6","6.8","1.8","4.7","1.4","1.2","0.5","2.1","0.7","31994","1246","47941","5753","(X)","(X)","48.8","(X)","(X)","(X)","3881","361","5.2","2.6","4.7","2.2","12.8","3.6","17.4","3.7","18.2","3.8","19.7","4.3","8.7","2.5","7.1","2.2","2.4","1.1","3.7","1.2","41481","4067","N","N","(X)","(X)","(X)","(X)","(X)","(X)","5545","382","18.3","3.3","16.3","3.1","15.7","2.8","13.9","2.9","9.0","2.4","12.2","2.5","7.0","2.0","4.7","1.7","2.3","1.1","0.5","0.5","24456","4456","38557","3641","(X)","(X)","(X)","(X)","38.6","(X)"
"8600000US53205","ZCTA5 53205","3311","181","25.1","3.8","10.8","2.6","21.7","3.1","10.9","2.9","10.5","2.5","10.7","2.6","5.6","1.9","2.7","1.4","1.2","0.9","0.9","0.7","21131","1816","35406","4793","51.9","(X)","(X)","(X)","(X)","(X)","1892","171","17.5","4.5","8.4","3.1","22.1","4.6","14.5","4.2","10.9","4.0","10.4","3.4","9.0","3.1","4.2","2.0","1.5","1.4","1.4","1.2","26034","3194","41502","5614","(X)","(X)","56.7","(X)","(X)","(X)","486","84","3.9","5.0","7.2","6.4","6.6","4.8","6.8","4.2","14.4","7.6","25.5","10.1","14.8","7.5","13.2","7.9","2.1","2.2","5.6","4.4","58913","12568","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1419","168","35.1","6.4","15.8","5.0","20.3","4.6","7.5","3.9","9.1","3.7","10.8","4.4","1.3","1.2","0.0","1.2","0.0","1.2","0.2","0.3","14132","4250","25519","7764","(X)","(X)","(X)","(X)","43.6","(X)"
"8600000US53206","ZCTA5 53206","7979","301","16.8","2.7","14.2","2.4","19.6","2.6","11.5","2.2","15.6","2.4","13.4","2.2","5.2","1.4","2.3","0.8","0.4","0.3","0.8","0.6","24557","2764","35477","2598","53.3","(X)","(X)","(X)","(X)","(X)","4778","333","15.6","3.6","7.6","2.0","20.1","3.5","14.0","3.6","18.2","3.3","12.8","3.2","7.9","2.2","2.7","1.2","0.6","0.5","0.6","0.5","30368","2660","39130","3460","(X)","(X)","58.4","(X)","(X)","(X)","964","146","1.7","2.2","2.4","2.2","11.2","7.1","12.6","5.3","22.8","6.4","26.0","8.5","14.4","6.4","6.1","4.0","1.0","1.1","1.8","1.7","49643","9896","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3201","356","23.4","4.2","25.9","4.5","21.1","4.3","7.3","2.2","9.7","2.3","9.7","3.1","1.4","1.0","0.4","0.4","0.0","0.5","1.2","1.3","15276","2008","24893","3327","(X)","(X)","(X)","(X)","40.6","(X)"
"8600000US53207","ZCTA5 53207","16588","210","5.3","1.0","3.9","0.8","8.1","1.3","7.7","1.2","12.8","1.4","21.5","1.7","19.3","1.5","15.3","1.2","3.6","0.6","2.5","0.6","64039","2224","72543","2276","30.6","(X)","(X)","(X)","(X)","(X)","8583","320","3.2","1.1","2.1","1.0","6.4","1.5","4.8","1.2","12.2","1.7","20.3","2.5","22.4","2.3","20.2","1.9","5.1","1.1","3.2","0.9","75756","2295","83788","3858","(X)","(X)","32.8","(X)","(X)","(X)","6086","271","1.8","1.1","1.0","0.9","2.4","1.0","3.5","1.1","10.0","1.9","18.6","2.7","26.2","3.0","26.1","2.4","6.4","1.4","3.9","1.2","87003","3524","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8005","335","7.8","1.8","6.0","1.5","10.5","2.0","10.6","2.1","14.6","2.4","23.0","2.5","15.7","2.2","8.3","1.5","1.9","0.7","1.8","0.6","50436","2968","58451","2785","(X)","(X)","(X)","(X)","27.8","(X)"
"8600000US53208","ZCTA5 53208","12071","344","13.4","2.0","9.1","1.6","13.7","1.8","13.7","2.0","11.7","1.7","15.1","1.7","9.4","1.5","9.4","1.3","3.4","0.8","1.2","0.4","35171","2118","53199","2805","39.5","(X)","(X)","(X)","(X)","(X)","6266","343","11.0","2.5","6.4","2.3","11.2","2.4","13.3","2.3","11.6","2.3","15.6","2.2","11.2","2.2","13.2","2.1","5.0","1.4","1.4","0.6","44419","6070","62575","4323","(X)","(X)","41.5","(X)","(X)","(X)","2891","250","3.4","1.8","2.3","2.1","5.4","2.6","7.9","2.8","7.0","2.0","18.5","3.2","17.1","3.6","25.3","3.7","10.5","2.9","2.8","1.2","82855","5761","N","N","(X)","(X)","(X)","(X)","(X)","(X)","5805","356","17.5","3.3","12.1","2.3","16.6","2.8","14.7","3.0","11.6","2.4","13.0","2.5","7.6","1.8","4.8","1.5","1.3","0.7","0.9","0.6","26608","1539","41169","4257","(X)","(X)","(X)","(X)","36.1","(X)"
