Lecture,Age,Primary major,Other majors,Zip Code,Pizza topping,Pet owner,Runner,Sleep habit,Procrastinator
LEC003,19,Mathematics/AMEP,finance,53706,sausage,No,Yes,early bird,Maybe
LEC003,21,Other,Political Science,53703,pepperoni,Yes,No,night owl,Maybe
LEC002,19,Engineering: Mechanical,,53706,basil/spinach,Yes,Yes,night owl,Maybe
LEC001,19,Mathematics/AMEP,Data Science,53706,pepperoni,Yes,Yes,night owl,Maybe
LEC001,18,Computer Science,Information Systems (Maybe),53706,sausage,Yes,No,early bird,Yes
LEC001,20,Business: Actuarial,Business: Risk Management,53703,pepperoni,Yes,No,early bird,Yes
LEC002,26,Engineering: Other,,53705,mushroom,No,No,night owl,Maybe
LEC001,18,Business: Information Systems,,53706,pepperoni,Yes,No,night owl,Yes
LEC003,23,Engineering: Other,Environmental Science,53703,mushroom,Yes,Yes,early bird,Maybe
LEC003,18,Science: Biology/Life,,53706,pineapple,No,No,early bird,Yes
LEC002,18,Engineering: Biomedical,,53706,pepperoni,Yes,No,no preference,No
LEC001,18,Other,,53706,pepperoni,Yes,No,night owl,Yes
LEC003,19,Engineering: Mechanical,Data Science,53726,sausage,Yes,No,no preference,Yes
LEC003,20,Data Science,,53715,pepperoni,Yes,No,night owl,Yes
LEC003,19,Engineering: Biomedical,,53706,pepperoni,No,Yes,early bird,No
LEC004,19,Business: Information Systems,,53715,none (just cheese),Yes,No,night owl,Yes
LEC001,20,Computer Science,,53703,mushroom,Yes,Yes,early bird,Maybe
LEC002,18,Data Science,,53703,none (just cheese),Yes,No,night owl,Yes
LEC004,19,Engineering: Mechanical,,53575,sausage,Yes,No,night owl,Maybe
LEC004,20,Business: Other,Information Systems,53703,sausage,Yes,Yes,no preference,Maybe
LEC003,18,Engineering: Biomedical,,53715,pineapple,Yes,No,no preference,Yes
LEC004,19,Engineering: Mechanical,,53706,mushroom,Yes,No,early bird,Maybe
LEC003,,Engineering: Biomedical,Certificate in French,,macaroni/pasta,Yes,Yes,night owl,No
LEC003,21,Business: Information Systems,,53703,pepperoni,Yes,Yes,night owl,Maybe
LEC001,,Data Science,,5 3706,mushroom,Yes,No,night owl,No
LEC004,19,Engineering: Biomedical,,53715,none (just cheese),Yes,Yes,no preference,Yes
LEC002,19,Engineering: Biomedical,,53703,pepperoni,Yes,Yes,night owl,No
LEC003,20,Computer Science,,53711,sausage,No,No,night owl,Maybe
LEC004,21,Science: Biology/Life,,53711,sausage,Yes,Yes,night owl,No
LEC003,21,Other,"Psychology, Chinese",53703,Other,Yes,Yes,night owl,Maybe
LEC003,20,Data Science,Minor - Comp Sci,53703,basil/spinach,Yes,Yes,no preference,Yes
LEC004,21,Science: Other,"Global Health is main major, possibly on the premed track, Data Science Certificate",53715,pineapple,Yes,Yes,early bird,No
LEC003,20,Engineering: Mechanical,,53726,pepperoni,Yes,Yes,night owl,Yes
LEC001,22,Science: Biology/Life,,53703,green pepper,Yes,No,night owl,Yes
LEC002,19,Science: Biology/Life,,53703,pepperoni,Yes,No,night owl,Maybe
LEC004,21,Engineering: Biomedical,,53715,green pepper,Yes,Yes,night owl,Maybe
LEC002,20,Business: Finance,Real Estate,53703,pepperoni,Yes,Yes,night owl,No
LEC004,21,Engineering: Biomedical,,53703,pepperoni,Yes,Yes,night owl,Yes
LEC002,19,Engineering: Industrial,"not positive on IE, maybe ME",53703,pepperoni,Yes,No,night owl,Maybe
LEC004,18,Engineering: Biomedical,,53706,mushroom,Yes,No,early bird,No
LEC003,19,Business: Actuarial,Data Science,53706,pepperoni,Yes,No,night owl,Yes
LEC001,24,Other,Life Science Communications,53703,pineapple,Yes,No,night owl,No
LEC004,22,Engineering: Other,,53715,pepperoni,No,Yes,early bird,No
LEC002,18,Engineering: Mechanical,,53715,pepperoni,Yes,Yes,night owl,Maybe
LEC004,19,Data Science,business: finance,53703,pepperoni,Yes,Yes,night owl,Yes
LEC003,19,Business: Other,"Economics, Data Science",53703,pepperoni,Yes,Yes,early bird,No
LEC004,18,Engineering: Other,,53706,pineapple,Yes,Yes,night owl,Maybe
LEC003,19,Engineering: Mechanical,,53706,none (just cheese),Yes,No,early bird,No
LEC002,18,Engineering: Mechanical,,53706,Other,Yes,Yes,early bird,No
LEC001,19,Other,,53706,green pepper,Yes,Yes,night owl,Yes
LEC004,18,Engineering: Biomedical,,53706,basil/spinach,Yes,Yes,no preference,No
LEC001,19,Business: Information Systems,,53726,green pepper,No,Yes,night owl,Maybe
LEC001,18,Engineering: Biomedical,,53706,sausage,Yes,No,night owl,Yes
LEC003,19,Engineering: Industrial,,53715,pepperoni,No,Yes,early bird,Yes
LEC002,27,Business: Information Systems,,53703,mushroom,No,Yes,night owl,No
LEC001,30,Business: Other,,57305,pineapple,Yes,No,night owl,Yes
LEC004,18,Engineering: Biomedical,Neuroscience/pre-med,53706,none (just cheese),Yes,No,night owl,Yes
LEC002,20,Data Science,,53703,mushroom,No,No,early bird,Yes
LEC001,19,Data Science,,53706,Other,Yes,Yes,no preference,Maybe
LEC001,22,Engineering: Biomedical,,53706,sausage,Yes,No,night owl,Yes
LEC003,20,Data Science,,,mushroom,Yes,No,no preference,Maybe
LEC003,20,Other,Economics with Math emphasis,53703,pineapple,No,No,early bird,Maybe
LEC002,20,Computer Science,Data Science,53706,basil/spinach,Yes,No,no preference,Yes
LEC001,24,Science: Biology/Life,,53706,mushroom,Yes,Yes,early bird,No
LEC004,20,Business: Information Systems,Real Estate,53703,pepperoni,Yes,No,night owl,Maybe
LEC001,20,Data Science,Economics,53703,sausage,Yes,No,no preference,Maybe
LEC002,20,Engineering: Mechanical,,53703,pepperoni,Yes,Yes,night owl,Maybe
LEC004,20,Engineering: Mechanical,,53715,pineapple,Yes,Yes,night owl,No
LEC004,20,Science: Biology/Life,Data Science Certificate (maybe) ,53703,sausage,Yes,Yes,night owl,Maybe
LEC004,18,Engineering: Mechanical,,19002,pepperoni,Yes,No,no preference,Yes
LEC001,19,Engineering: Other,,53706,pepperoni,Yes,No,no preference,Maybe
LEC002,18,Engineering: Mechanical,,53706,pepperoni,Yes,Yes,early bird,Maybe
LEC004,19,Computer Science,Mathematics,53706,pineapple,Yes,No,no preference,Maybe
LEC003,18,Business: Information Systems,,53706,pepperoni,Yes,No,night owl,Yes
LEC003,19,Science: Physics,,53706,pineapple,Yes,Yes,night owl,Maybe
LEC004,18,Other,,53706,pepperoni,Yes,Yes,night owl,Maybe
LEC001,25,Engineering: Other,"Architect, Landscape Planner",,mushroom,Yes,Yes,early bird,No
LEC001,21,Engineering: Mechanical,Physics,53706,mushroom,No,Yes,no preference,Maybe
LEC004,20,Other,"I major in economics, hoping to obtain a data science certificate.",53703,pepperoni,Yes,No,night owl,Yes
LEC001,20,Data Science,Economics,53703,none (just cheese),No,Yes,night owl,Maybe
LEC001,21,Science: Other,,53703,mushroom,Yes,No,night owl,Yes
LEC002,18,Data Science,,53706,pepperoni,Yes,No,night owl,No
LEC002,24,Business: Other,,53711,sausage,Yes,No,night owl,Yes
LEC001,19,Engineering: Mechanical,,53706,pepperoni,Yes,No,night owl,Maybe
LEC003,20,Business: Actuarial,,53703,pepperoni,No,Yes,night owl,No
LEC001,21,Data Science,Economics,53715,pineapple,Yes,No,night owl,Maybe
LEC001,23,Other,"Marketing, Data science ",,none (just cheese),No,No,early bird,Maybe
LEC002,22,Engineering: Biomedical,,53703,pepperoni,Yes,Yes,night owl,No
LEC003,18,Computer Science,,53703,sausage,Yes,No,night owl,Yes
LEC003,19,Science: Physics,Astronomy-Physics ,53706,pepperoni,Yes,No,night owl,Yes
LEC003,19,Engineering: Mechanical,,53715,pepperoni,Yes,No,early bird,No
LEC001,18,Data Science,,53706,pepperoni,Yes,Yes,early bird,Yes
LEC001,18,Business: Information Systems,,53706,pepperoni,No,No,night owl,Yes
LEC002,20,Mathematics/AMEP,data and risk analysis (data science),53726,pineapple,Yes,No,night owl,Yes
LEC001,18,Other,,53706,mushroom,Yes,No,no preference,Yes
LEC002,20,Science: Biology/Life,Economics with Math Emphasis,53703,pepperoni,Yes,No,early bird,Yes
LEC001,18,Data Science,,53706,none (just cheese),Yes,No,night owl,Yes
LEC001,,Statistics,Econ,,pineapple,No,No,night owl,Maybe
LEC003,19,Engineering: Biomedical,,53706,pineapple,Yes,No,night owl,Yes
LEC003,18,Engineering: Mechanical,,53706,Other,Yes,Yes,night owl,Yes
LEC003,18,Engineering: Biomedical,,53089,pepperoni,Yes,No,night owl,Yes
LEC003,18,Mathematics/AMEP,,53703,sausage,No,No,no preference,Maybe
LEC001,18,Data Science,,53706,pepperoni,Yes,Yes,night owl,Yes
LEC003,19,Data Science,,53706,pepperoni,Yes,No,early bird,Yes
LEC003,21,Engineering: Biomedical,,53726,sausage,Yes,No,early bird,Maybe
LEC004,22,Business: Other,,53703,green pepper,Yes,Yes,night owl,Yes
LEC002,19,Engineering: Mechanical,computer science,53706,pineapple,Yes,Yes,night owl,Maybe
LEC004,21,Science: Biology/Life,,53703,sausage,Yes,No,early bird,No
LEC002,18,Engineering: Other,,53706,sausage,Yes,Yes,night owl,Maybe
LEC001,20,Data Science,Economics,53703,pepperoni,Yes,Yes,night owl,Yes
LEC003,19,Engineering: Industrial,,53703,pepperoni,Yes,Yes,early bird,Maybe
LEC003,21,Computer Science,no,53703,pineapple,Yes,No,night owl,No
LEC002,20,Engineering: Mechanical,,53706,mushroom,Yes,No,night owl,Yes
LEC003,21,Business: Finance,,53715,pepperoni,Yes,No,night owl,Yes
LEC001,20,Science: Other,,53703,Other,Yes,Yes,night owl,Maybe
LEC001,20,Engineering: Other,,53715,pepperoni,Yes,Yes,night owl,Yes
LEC003,19,Engineering: Biomedical,,53706,green pepper,Yes,Yes,early bird,No
LEC002,19,Engineering: Mechanical,"German Certificate, Theatre Certificate",53706,pepperoni,Yes,No,night owl,Yes
LEC001,20,Engineering: Biomedical,,53703,pepperoni,Yes,No,night owl,Yes
LEC001,19,Statistics,,53715,sausage,Yes,No,night owl,Yes
LEC001,18,Engineering: Industrial,,53706,none (just cheese),Yes,No,night owl,Maybe
LEC004,22,Data Science,Economics,53703,pepperoni,Yes,No,night owl,Maybe
LEC001,18,Other,,53703,pepperoni,Yes,No,night owl,Yes
LEC002,19,Engineering: Mechanical,,53706,pepperoni,Yes,Yes,night owl,Yes
LEC001,23,Other,Biological Anthropology,53705,none (just cheese),Yes,No,early bird,Yes
LEC001,19,Engineering: Biomedical,,53706,pineapple,Yes,Yes,no preference,Maybe
LEC004,19,Business: Actuarial,econ,53715,sausage,Yes,No,night owl,Yes
LEC001,18,Engineering: Mechanical,,53703,macaroni/pasta,Yes,No,night owl,Yes
LEC002,18,Business: Other,,53706,mushroom,No,No,night owl,Maybe
LEC002,20,Other,,53703,mushroom,Yes,Yes,no preference,Yes
LEC002,19,Business: Actuarial,,53703,Other,Yes,No,no preference,Maybe
LEC001,21,Business: Other,,53715,pepperoni,Yes,No,night owl,Yes
LEC001,21,Business: Other,econ with math emphasis,53715,mushroom,Yes,Yes,night owl,Maybe
LEC004,21,Science: Biology/Life,,53703,none (just cheese),Yes,No,night owl,Maybe
LEC004,22,Other,"Psychology, communications",53715,basil/spinach,Yes,No,night owl,Yes
LEC003,18,Statistics,,53706,pepperoni,Yes,Yes,night owl,Maybe
LEC001,20,Statistics,,53703,pepperoni,Yes,Yes,night owl,Maybe
LEC002,21,Data Science,,,pepperoni,Yes,Yes,no preference,Maybe
LEC001,18,Engineering: Biomedical,,,sausage,Yes,Yes,early bird,No
LEC003,20,Statistics,,53706,sausage,Yes,No,night owl,No
LEC002,21,Business: Other,,53703,pineapple,Yes,Yes,night owl,Maybe
LEC001,22,Data Science,,53715,pineapple,Yes,Yes,night owl,Maybe
LEC003,25,Computer Science,,53705,mushroom,Yes,No,night owl,Yes
LEC004,20,Other,,53715,pepperoni,Yes,Yes,early bird,Yes
LEC002,19,Computer Science,"ds,econ",53711,Other,Yes,No,night owl,No
LEC002,18,Other,,53706,pepperoni,No,No,night owl,Yes
LEC002,21,Business: Actuarial,Management,53706,pepperoni,Yes,No,night owl,Yes
LEC001,19,Business: Finance,Data science,53703,pepperoni,No,No,no preference,Maybe
LEC003,18,Engineering: Mechanical,,53703,pineapple,Yes,Yes,no preference,No
LEC001,21,Business: Other,"Consumer Behavior & Marketplace Studies, Data Science",53703,pepperoni,Yes,No,night owl,No
LEC002,20,Business: Finance,,53715,sausage,Yes,No,night owl,Yes
LEC001,19,Other,Psychology,53703,pepperoni,No,Yes,night owl,Yes
LEC003,18,Engineering: Biomedical,,53706,pepperoni,Yes,No,night owl,Yes
LEC001,19,Business: Information Systems,,53711,sausage,Yes,No,night owl,No
LEC003,21,Computer Science,,53715,sausage,No,Yes,early bird,Yes
