,Name,Attack,Defense,HP,Region,Sp. Atk,Sp. Def,Speed,Type 1,Type 2
50,Persian,70,60,65,Kanto,65,65,115,Normal,None
51,Psyduck,52,48,50,Kanto,65,50,55,Water,None
52,Golduck,82,78,80,Kanto,95,80,85,Water,None
53,Mankey,80,35,40,Kanto,35,45,70,Fighting,None
54,Primeape,105,60,65,Kanto,60,70,95,Fighting,None
55,Growlithe,70,45,55,Kanto,70,50,60,Fire,None
56,Arcanine,110,80,90,Kanto,100,80,95,Fire,None
57,Poliwag,50,40,40,Kanto,40,40,90,Water,None
58,Poliwhirl,65,65,65,Kanto,50,50,90,Water,None
59,Poliwrath,95,95,90,Kanto,70,90,70,Water,Fighting
60,Abra,20,15,25,Kanto,105,55,90,Psychic,None
61,Kadabra,35,30,40,Kanto,120,70,105,Psychic,None
62,Alakazam,50,45,55,Kanto,135,95,120,Psychic,None
63,Machop,80,50,70,Kanto,35,35,35,Fighting,None
64,Machoke,100,70,80,Kanto,50,60,45,Fighting,None
65,Machamp,130,80,90,Kanto,65,85,55,Fighting,None
66,Bellsprout,75,35,50,Kanto,70,30,40,Grass,Poison
67,Weepinbell,90,50,65,Kanto,85,45,55,Grass,Poison
68,Victreebel,105,65,80,Kanto,100,70,70,Grass,Poison
69,Tentacool,40,35,40,Kanto,50,100,70,Water,Poison
70,Tentacruel,70,65,80,Kanto,80,120,100,Water,Poison
71,Geodude,80,100,40,Kanto,30,30,20,Rock,Ground
72,Graveler,95,115,55,Kanto,45,45,35,Rock,Ground
73,Golem,120,130,80,Kanto,55,65,45,Rock,Ground
74,Ponyta,85,55,50,Kanto,65,65,90,Fire,None
75,Rapidash,100,70,65,Kanto,80,80,105,Fire,None
76,Slowpoke,65,65,90,Kanto,40,40,15,Water,Psychic
77,Slowbro,75,110,95,Kanto,100,80,30,Water,Psychic
78,Magnemite,35,70,25,Kanto,95,55,45,Electric,Steel
79,Magneton,60,95,50,Kanto,120,70,70,Electric,Steel
80,Doduo,85,45,35,Kanto,35,35,75,Normal,Flying
81,Dodrio,110,70,60,Kanto,60,60,110,Normal,Flying
82,Seel,45,55,65,Kanto,45,70,45,Water,None
83,Dewgong,70,80,90,Kanto,70,95,70,Water,Ice
84,Grimer,80,50,80,Kanto,40,50,25,Poison,None
85,Muk,105,75,105,Kanto,65,100,50,Poison,None
86,Shellder,65,100,30,Kanto,45,25,40,Water,None
87,Cloyster,95,180,50,Kanto,85,45,70,Water,Ice
88,Gastly,35,30,30,Kanto,100,35,80,Ghost,Poison
89,Haunter,50,45,45,Kanto,115,55,95,Ghost,Poison
90,Gengar,65,60,60,Kanto,130,75,110,Ghost,Poison
91,Onix,45,160,35,Kanto,30,45,70,Rock,Ground
92,Drowzee,48,45,60,Kanto,43,90,42,Psychic,None
93,Hypno,73,70,85,Kanto,73,115,67,Psychic,None
94,Krabby,105,90,30,Kanto,25,25,50,Water,None
95,Kingler,130,115,55,Kanto,50,50,75,Water,None
96,Voltorb,30,50,40,Kanto,55,55,100,Electric,None
97,Electrode,50,70,60,Kanto,80,80,150,Electric,None
98,Exeggcute,40,80,60,Kanto,60,45,40,Grass,Psychic
99,Exeggutor,95,85,95,Kanto,125,75,55,Grass,Psychic
100,Cubone,50,95,50,Kanto,40,50,35,Ground,None
101,Marowak,80,110,60,Kanto,50,80,45,Ground,None
102,Hitmonlee,120,53,50,Kanto,35,110,87,Fighting,None
103,Hitmonchan,105,79,50,Kanto,35,110,76,Fighting,None
104,Lickitung,55,75,90,Kanto,60,75,30,Normal,None
105,Koffing,65,95,40,Kanto,60,45,35,Poison,None
106,Weezing,90,120,65,Kanto,85,70,60,Poison,None
107,Rhyhorn,85,95,80,Kanto,30,30,25,Ground,Rock
108,Rhydon,130,120,105,Kanto,45,45,40,Ground,Rock
109,Chansey,5,5,250,Kanto,35,105,50,Normal,None
110,Tangela,55,115,65,Kanto,100,40,60,Grass,None
111,Kangaskhan,95,80,105,Kanto,40,80,90,Normal,None
112,Horsea,40,70,30,Kanto,70,25,60,Water,None
113,Seadra,65,95,55,Kanto,95,45,85,Water,None
114,Goldeen,67,60,45,Kanto,35,50,63,Water,None
115,Seaking,92,65,80,Kanto,65,80,68,Water,None
116,Staryu,45,55,30,Kanto,70,55,85,Water,None
117,Starmie,75,85,60,Kanto,100,85,115,Water,Psychic
118,Scyther,110,80,70,Kanto,55,80,105,Bug,Flying
119,Jynx,50,35,65,Kanto,115,95,95,Ice,Psychic
120,Electabuzz,83,57,65,Kanto,95,85,105,Electric,None
121,Magmar,95,57,65,Kanto,100,85,93,Fire,None
122,Pinsir,125,100,65,Kanto,55,70,85,Bug,None
123,Tauros,100,95,75,Kanto,40,70,110,Normal,None
124,Magikarp,10,55,20,Kanto,15,20,80,Water,None
125,Gyarados,125,79,95,Kanto,60,100,81,Water,Flying
126,Lapras,85,80,130,Kanto,85,95,60,Water,Ice
127,Ditto,48,48,48,Kanto,48,48,48,Normal,None
128,Eevee,55,50,55,Kanto,45,65,55,Normal,None
129,Vaporeon,65,60,130,Kanto,110,95,65,Water,None
130,Jolteon,65,60,65,Kanto,110,95,130,Electric,None
131,Flareon,130,60,65,Kanto,95,110,65,Fire,None
132,Porygon,60,70,65,Kanto,85,75,40,Normal,None
133,Omanyte,40,100,35,Kanto,90,55,35,Rock,Water
134,Omastar,60,125,70,Kanto,115,70,55,Rock,Water
135,Kabuto,80,90,30,Kanto,55,45,55,Rock,Water
136,Kabutops,115,105,60,Kanto,65,70,80,Rock,Water
137,Aerodactyl,105,65,80,Kanto,60,75,130,Rock,Flying
138,Snorlax,110,65,160,Kanto,65,110,30,Normal,None
139,Articuno,85,100,90,Kanto,95,125,85,Ice,Flying
140,Zapdos,90,85,90,Kanto,125,90,100,Electric,Flying
141,Moltres,100,90,90,Kanto,125,85,90,Fire,Flying
142,Dratini,64,45,41,Kanto,50,50,50,Dragon,None
143,Dragonair,84,65,61,Kanto,70,70,70,Dragon,None
144,Dragonite,134,95,91,Kanto,100,100,80,Dragon,Flying
145,Mewtwo,110,90,106,Kanto,154,90,130,Psychic,None
146,Mew,100,100,100,Kanto,100,100,100,Psychic,None
147,Chikorita,49,65,45,Johto,49,65,45,Grass,None
148,Bayleef,62,80,60,Johto,63,80,60,Grass,None
149,Meganium,82,100,80,Johto,83,100,80,Grass,None
150,Cyndaquil,52,43,39,Johto,60,50,65,Fire,None
151,Quilava,64,58,58,Johto,80,65,80,Fire,None
152,Typhlosion,84,78,78,Johto,109,85,100,Fire,None
153,Totodile,65,64,50,Johto,44,48,43,Water,None
154,Croconaw,80,80,65,Johto,59,63,58,Water,None
155,Feraligatr,105,100,85,Johto,79,83,78,Water,None
156,Sentret,46,34,35,Johto,35,45,20,Normal,None
157,Furret,76,64,85,Johto,45,55,90,Normal,None
158,Hoothoot,30,30,60,Johto,36,56,50,Normal,Flying
159,Noctowl,50,50,100,Johto,86,96,70,Normal,Flying
160,Ledyba,20,30,40,Johto,40,80,55,Bug,Flying
161,Ledian,35,50,55,Johto,55,110,85,Bug,Flying
162,Spinarak,60,40,40,Johto,40,40,30,Bug,Poison
163,Ariados,90,70,70,Johto,60,70,40,Bug,Poison
164,Crobat,90,80,85,Johto,70,80,130,Poison,Flying
165,Chinchou,38,38,75,Johto,56,56,67,Water,Electric
166,Lanturn,58,58,125,Johto,76,76,67,Water,Electric
167,Pichu,40,15,20,Johto,35,35,60,Electric,None
168,Cleffa,25,28,50,Johto,45,55,15,Fairy,None
169,Igglybuff,30,15,90,Johto,40,20,15,Normal,Fairy
170,Togepi,20,65,35,Johto,40,65,20,Fairy,None
171,Togetic,40,85,55,Johto,80,105,40,Fairy,Flying
172,Natu,50,45,40,Johto,70,45,70,Psychic,Flying
173,Xatu,75,70,65,Johto,95,70,95,Psychic,Flying
174,Mareep,40,40,55,Johto,65,45,35,Electric,None
175,Flaaffy,55,55,70,Johto,80,60,45,Electric,None
176,Ampharos,75,85,90,Johto,115,90,55,Electric,None
177,Bellossom,80,95,75,Johto,90,100,50,Grass,None
178,Marill,20,50,70,Johto,20,50,40,Water,Fairy
179,Azumarill,50,80,100,Johto,60,80,50,Water,Fairy
180,Sudowoodo,100,115,70,Johto,30,65,30,Rock,None
181,Politoed,75,75,90,Johto,90,100,70,Water,None
182,Hoppip,35,40,35,Johto,35,55,50,Grass,Flying
183,Skiploom,45,50,55,Johto,45,65,80,Grass,Flying
184,Jumpluff,55,70,75,Johto,55,95,110,Grass,Flying
185,Aipom,70,55,55,Johto,40,55,85,Normal,None
186,Sunkern,30,30,30,Johto,30,30,30,Grass,None
187,Sunflora,75,55,75,Johto,105,85,30,Grass,None
188,Yanma,65,45,65,Johto,75,45,95,Bug,Flying
189,Wooper,45,45,55,Johto,25,25,15,Water,Ground
190,Quagsire,85,85,95,Johto,65,65,35,Water,Ground
191,Espeon,65,60,65,Johto,130,95,110,Psychic,None
192,Umbreon,65,110,95,Johto,60,130,65,Dark,None
193,Murkrow,85,42,60,Johto,85,42,91,Dark,Flying
194,Slowking,75,80,95,Johto,100,110,30,Water,Psychic
195,Misdreavus,60,60,60,Johto,85,85,85,Ghost,None
196,Unown,72,48,48,Johto,72,48,48,Psychic,None
197,Wobbuffet,33,58,190,Johto,33,58,33,Psychic,None
198,Girafarig,80,65,70,Johto,90,65,85,Normal,Psychic
199,Pineco,65,90,50,Johto,35,35,15,Bug,None
200,Forretress,90,140,75,Johto,60,60,40,Bug,Steel
201,Dunsparce,70,70,100,Johto,65,65,45,Normal,None
202,Gligar,75,105,65,Johto,35,65,85,Ground,Flying
203,Steelix,85,200,75,Johto,55,65,30,Steel,Ground
204,Snubbull,80,50,60,Johto,40,40,30,Fairy,None
205,Granbull,120,75,90,Johto,60,60,45,Fairy,None
206,Qwilfish,95,85,65,Johto,55,55,85,Water,Poison
207,Scizor,130,100,70,Johto,55,80,65,Bug,Steel
208,Shuckle,10,230,20,Johto,10,230,5,Bug,Rock
209,Heracross,125,75,80,Johto,40,95,85,Bug,Fighting
210,Sneasel,95,55,55,Johto,35,75,115,Dark,Ice
211,Teddiursa,80,50,60,Johto,50,50,40,Normal,None
212,Ursaring,130,75,90,Johto,75,75,55,Normal,None
213,Slugma,40,40,40,Johto,70,40,20,Fire,None
214,Magcargo,50,120,60,Johto,90,80,30,Fire,Rock
215,Swinub,50,40,50,Johto,30,30,50,Ice,Ground
216,Piloswine,100,80,100,Johto,60,60,50,Ice,Ground
217,Corsola,55,95,65,Johto,65,95,35,Water,Rock
218,Remoraid,65,35,35,Johto,65,35,65,Water,None
219,Octillery,105,75,75,Johto,105,75,45,Water,None
220,Delibird,55,45,45,Johto,65,45,75,Ice,Flying
221,Mantine,40,70,85,Johto,80,140,70,Water,Flying
222,Skarmory,80,140,65,Johto,40,70,70,Steel,Flying
223,Houndour,60,30,45,Johto,80,50,65,Dark,Fire
224,Houndoom,90,50,75,Johto,110,80,95,Dark,Fire
225,Kingdra,95,95,75,Johto,95,95,85,Water,Dragon
226,Phanpy,60,60,90,Johto,40,40,40,Ground,None
227,Donphan,120,120,90,Johto,60,60,50,Ground,None
228,Porygon2,80,90,85,Johto,105,95,60,Normal,None
229,Stantler,95,62,73,Johto,85,65,85,Normal,None
230,Smeargle,20,35,55,Johto,20,45,75,Normal,None
231,Tyrogue,35,35,35,Johto,35,35,35,Fighting,None
232,Hitmontop,95,95,50,Johto,35,110,70,Fighting,None
233,Smoochum,30,15,45,Johto,85,65,65,Ice,Psychic
234,Elekid,63,37,45,Johto,65,55,95,Electric,None
235,Magby,75,37,45,Johto,70,55,83,Fire,None
236,Miltank,80,105,95,Johto,40,70,100,Normal,None
237,Blissey,10,10,255,Johto,75,135,55,Normal,None
238,Raikou,85,75,90,Johto,115,100,115,Electric,None
239,Entei,115,85,115,Johto,90,75,100,Fire,None
240,Suicune,75,115,100,Johto,90,115,85,Water,None
241,Larvitar,64,50,50,Johto,45,50,41,Rock,Ground
242,Pupitar,84,70,70,Johto,65,70,51,Rock,Ground
243,Tyranitar,134,110,100,Johto,95,100,61,Rock,Dark
244,Lugia,90,130,106,Johto,90,154,110,Psychic,Flying
245,Ho-oh,130,90,106,Johto,110,154,90,Fire,Flying
246,Celebi,100,100,100,Johto,100,100,100,Psychic,Grass
247,Treecko,45,35,40,Hoenn,65,55,70,Grass,None
248,Grovyle,65,45,50,Hoenn,85,65,95,Grass,None
249,Sceptile,85,65,70,Hoenn,105,85,120,Grass,None
250,Torchic,60,40,45,Hoenn,70,50,45,Fire,None
251,Combusken,85,60,60,Hoenn,85,60,55,Fire,Fighting
252,Blaziken,120,70,80,Hoenn,110,70,80,Fire,Fighting
253,Mudkip,70,50,50,Hoenn,50,50,40,Water,None
254,Marshtomp,85,70,70,Hoenn,60,70,50,Water,Ground
255,Swampert,110,90,100,Hoenn,85,90,60,Water,Ground
256,Poochyena,55,35,35,Hoenn,30,30,35,Dark,None
257,Mightyena,90,70,70,Hoenn,60,60,70,Dark,None
258,Zigzagoon,30,41,38,Hoenn,30,41,60,Normal,None
259,Linoone,70,61,78,Hoenn,50,61,100,Normal,None
260,Wurmple,45,35,45,Hoenn,20,30,20,Bug,None
261,Silcoon,35,55,50,Hoenn,25,25,15,Bug,None
262,Beautifly,70,50,60,Hoenn,100,50,65,Bug,Flying
263,Cascoon,35,55,50,Hoenn,25,25,15,Bug,None
264,Dustox,50,70,60,Hoenn,50,90,65,Bug,Poison
265,Lotad,30,30,40,Hoenn,40,50,30,Water,Grass
266,Lombre,50,50,60,Hoenn,60,70,50,Water,Grass
267,Ludicolo,70,70,80,Hoenn,90,100,70,Water,Grass
268,Seedot,40,50,40,Hoenn,30,30,30,Grass,None
269,Nuzleaf,70,40,70,Hoenn,60,40,60,Grass,Dark
270,Shiftry,100,60,90,Hoenn,90,60,80,Grass,Dark
271,Taillow,55,30,40,Hoenn,30,30,85,Normal,Flying
272,Swellow,85,60,60,Hoenn,75,50,125,Normal,Flying
273,Wingull,30,30,40,Hoenn,55,30,85,Water,Flying
274,Pelipper,50,100,60,Hoenn,95,70,65,Water,Flying
275,Ralts,25,25,28,Hoenn,45,35,40,Psychic,Fairy
276,Kirlia,35,35,38,Hoenn,65,55,50,Psychic,Fairy
277,Gardevoir,65,65,68,Hoenn,125,115,80,Psychic,Fairy
278,Surskit,30,32,40,Hoenn,50,52,65,Bug,Water
279,Masquerain,60,62,70,Hoenn,100,82,80,Bug,Flying
280,Shroomish,40,60,60,Hoenn,40,60,35,Grass,None
281,Breloom,130,80,60,Hoenn,60,60,70,Grass,Fighting
282,Slakoth,60,60,60,Hoenn,35,35,30,Normal,None
283,Vigoroth,80,80,80,Hoenn,55,55,90,Normal,None
284,Slaking,160,100,150,Hoenn,95,65,100,Normal,None
285,Nincada,45,90,31,Hoenn,30,30,40,Bug,Ground
286,Ninjask,90,45,61,Hoenn,50,50,160,Bug,Flying
287,Shedinja,90,45,1,Hoenn,30,30,40,Bug,Ghost
288,Whismur,51,23,64,Hoenn,51,23,28,Normal,None
289,Loudred,71,43,84,Hoenn,71,43,48,Normal,None
290,Exploud,91,63,104,Hoenn,91,73,68,Normal,None
291,Makuhita,60,30,72,Hoenn,20,30,25,Fighting,None
292,Hariyama,120,60,144,Hoenn,40,60,50,Fighting,None
293,Azurill,20,40,50,Hoenn,20,40,20,Normal,Fairy
294,Nosepass,45,135,30,Hoenn,45,90,30,Rock,None
295,Skitty,45,45,50,Hoenn,35,35,50,Normal,None
296,Delcatty,65,65,70,Hoenn,55,55,90,Normal,None
297,Sableye,75,75,50,Hoenn,65,65,50,Dark,Ghost
298,Mawile,85,85,50,Hoenn,55,55,50,Steel,Fairy
299,Aron,70,100,50,Hoenn,40,40,30,Steel,Rock
300,Lairon,90,140,60,Hoenn,50,50,40,Steel,Rock
301,Aggron,110,180,70,Hoenn,60,60,50,Steel,Rock
302,Meditite,40,55,30,Hoenn,40,55,60,Fighting,Psychic
303,Medicham,60,75,60,Hoenn,60,75,80,Fighting,Psychic
304,Electrike,45,40,40,Hoenn,65,40,65,Electric,None
305,Manectric,75,60,70,Hoenn,105,60,105,Electric,None
306,Plusle,50,40,60,Hoenn,85,75,95,Electric,None
307,Minun,40,50,60,Hoenn,75,85,95,Electric,None
308,Volbeat,73,75,65,Hoenn,47,85,85,Bug,None
309,Illumise,47,75,65,Hoenn,73,85,85,Bug,None
310,Roselia,60,45,50,Hoenn,100,80,65,Grass,Poison
311,Gulpin,43,53,70,Hoenn,43,53,40,Poison,None
312,Swalot,73,83,100,Hoenn,73,83,55,Poison,None
313,Carvanha,90,20,45,Hoenn,65,20,65,Water,Dark
314,Sharpedo,120,40,70,Hoenn,95,40,95,Water,Dark
315,Wailmer,70,35,130,Hoenn,70,35,60,Water,None
316,Wailord,90,45,170,Hoenn,90,45,60,Water,None
317,Numel,60,40,60,Hoenn,65,45,35,Fire,Ground
318,Camerupt,100,70,70,Hoenn,105,75,40,Fire,Ground
319,Torkoal,85,140,70,Hoenn,85,70,20,Fire,None
320,Spoink,25,35,60,Hoenn,70,80,60,Psychic,None
321,Grumpig,45,65,80,Hoenn,90,110,80,Psychic,None
322,Spinda,60,60,60,Hoenn,60,60,60,Normal,None
323,Trapinch,100,45,45,Hoenn,45,45,10,Ground,None
324,Vibrava,70,50,50,Hoenn,50,50,70,Ground,Dragon
325,Flygon,100,80,80,Hoenn,80,80,100,Ground,Dragon
326,Cacnea,85,40,50,Hoenn,85,40,35,Grass,None
327,Cacturne,115,60,70,Hoenn,115,60,55,Grass,Dark
328,Swablu,40,60,45,Hoenn,40,75,50,Normal,Flying
329,Altaria,70,90,75,Hoenn,70,105,80,Dragon,Flying
330,Zangoose,115,60,73,Hoenn,60,60,90,Normal,None
331,Seviper,100,60,73,Hoenn,100,60,65,Poison,None
332,Lunatone,55,65,90,Hoenn,95,85,70,Rock,Psychic
333,Solrock,95,85,90,Hoenn,55,65,70,Rock,Psychic
334,Barboach,48,43,50,Hoenn,46,41,60,Water,Ground
335,Whiscash,78,73,110,Hoenn,76,71,60,Water,Ground
336,Corphish,80,65,43,Hoenn,50,35,35,Water,None
337,Crawdaunt,120,85,63,Hoenn,90,55,55,Water,Dark
338,Baltoy,40,55,40,Hoenn,40,70,55,Ground,Psychic
339,Claydol,70,105,60,Hoenn,70,120,75,Ground,Psychic
340,Lileep,41,77,66,Hoenn,61,87,23,Rock,Grass
341,Cradily,81,97,86,Hoenn,81,107,43,Rock,Grass
342,Anorith,95,50,45,Hoenn,40,50,75,Rock,Bug
343,Armaldo,125,100,75,Hoenn,70,80,45,Rock,Bug
344,Feebas,15,20,20,Hoenn,10,55,80,Water,None
345,Milotic,60,79,95,Hoenn,100,125,81,Water,None
346,Castform,70,70,70,Hoenn,70,70,70,Normal,None
347,Kecleon,90,70,60,Hoenn,60,120,40,Normal,None
348,Shuppet,75,35,44,Hoenn,63,33,45,Ghost,None
349,Banette,115,65,64,Hoenn,83,63,65,Ghost,None
350,Duskull,40,90,20,Hoenn,30,90,25,Ghost,None
351,Dusclops,70,130,40,Hoenn,60,130,25,Ghost,None
352,Tropius,68,83,99,Hoenn,72,87,51,Grass,Flying
353,Chimecho,50,80,75,Hoenn,95,90,65,Psychic,None
354,Absol,130,60,65,Hoenn,75,60,75,Dark,None
355,Wynaut,23,48,95,Hoenn,23,48,23,Psychic,None
356,Snorunt,50,50,50,Hoenn,50,50,50,Ice,None
357,Glalie,80,80,80,Hoenn,80,80,80,Ice,None
358,Spheal,40,50,70,Hoenn,55,50,25,Ice,Water
359,Sealeo,60,70,90,Hoenn,75,70,45,Ice,Water
360,Walrein,80,90,110,Hoenn,95,90,65,Ice,Water
361,Clamperl,64,85,35,Hoenn,74,55,32,Water,None
362,Huntail,104,105,55,Hoenn,94,75,52,Water,None
363,Gorebyss,84,105,55,Hoenn,114,75,52,Water,None
364,Relicanth,90,130,100,Hoenn,45,65,55,Water,Rock
365,Luvdisc,30,55,43,Hoenn,40,65,97,Water,None
366,Bagon,75,60,45,Hoenn,40,30,50,Dragon,None
367,Shelgon,95,100,65,Hoenn,60,50,50,Dragon,None
368,Salamence,135,80,95,Hoenn,110,80,100,Dragon,Flying
369,Beldum,55,80,40,Hoenn,35,60,30,Steel,Psychic
370,Metang,75,100,60,Hoenn,55,80,50,Steel,Psychic
371,Metagross,135,130,80,Hoenn,95,90,70,Steel,Psychic
372,Regirock,100,200,80,Hoenn,50,100,50,Rock,None
373,Regice,50,100,80,Hoenn,100,200,50,Ice,None
374,Registeel,75,150,80,Hoenn,75,150,50,Steel,None
375,Latias,80,90,80,Hoenn,110,130,110,Dragon,Psychic
376,Latios,90,80,80,Hoenn,130,110,110,Dragon,Psychic
377,Kyogre,100,90,100,Hoenn,150,140,90,Water,None
378,Groudon,150,140,100,Hoenn,100,90,90,Ground,None
379,Rayquaza,150,90,105,Hoenn,150,90,95,Dragon,Flying
380,Jirachi,100,100,100,Hoenn,100,100,100,Steel,Psychic
381,Deoxys,150,50,50,Hoenn,150,50,150,Psychic,None
382,Turtwig,68,64,55,Sinnoh,45,55,31,Grass,None
383,Grotle,89,85,75,Sinnoh,55,65,36,Grass,None
384,Torterra,109,105,95,Sinnoh,75,85,56,Grass,Ground
385,Chimchar,58,44,44,Sinnoh,58,44,61,Fire,None
386,Monferno,78,52,64,Sinnoh,78,52,81,Fire,Fighting
387,Infernape,104,71,76,Sinnoh,104,71,108,Fire,Fighting
388,Piplup,51,53,53,Sinnoh,61,56,40,Water,None
389,Prinplup,66,68,64,Sinnoh,81,76,50,Water,None
390,Empoleon,86,88,84,Sinnoh,111,101,60,Water,Steel
391,Starly,55,30,40,Sinnoh,30,30,60,Normal,Flying
392,Staravia,75,50,55,Sinnoh,40,40,80,Normal,Flying
393,Staraptor,120,70,85,Sinnoh,50,60,100,Normal,Flying
394,Bidoof,45,40,59,Sinnoh,35,40,31,Normal,None
395,Bibarel,85,60,79,Sinnoh,55,60,71,Normal,Water
396,Kricketot,25,41,37,Sinnoh,25,41,25,Bug,None
397,Kricketune,85,51,77,Sinnoh,55,51,65,Bug,None
398,Shinx,65,34,45,Sinnoh,40,34,45,Electric,None
399,Luxio,85,49,60,Sinnoh,60,49,60,Electric,None
400,Luxray,120,79,80,Sinnoh,95,79,70,Electric,None
401,Budew,30,35,40,Sinnoh,50,70,55,Grass,Poison
402,Roserade,70,65,60,Sinnoh,125,105,90,Grass,Poison
403,Cranidos,125,40,67,Sinnoh,30,30,58,Rock,None
404,Rampardos,165,60,97,Sinnoh,65,50,58,Rock,None
405,Shieldon,42,118,30,Sinnoh,42,88,30,Rock,Steel
406,Bastiodon,52,168,60,Sinnoh,47,138,30,Rock,Steel
407,Burmy,29,45,40,Sinnoh,29,45,36,Bug,None
408,Wormadam,59,85,60,Sinnoh,79,105,36,Bug,Grass
409,Mothim,94,50,70,Sinnoh,94,50,66,Bug,Flying
410,Combee,30,42,30,Sinnoh,30,42,70,Bug,Flying
411,Vespiquen,80,102,70,Sinnoh,80,102,40,Bug,Flying
412,Pachirisu,45,70,60,Sinnoh,45,90,95,Electric,None
413,Buizel,65,35,55,Sinnoh,60,30,85,Water,None
414,Floatzel,105,55,85,Sinnoh,85,50,115,Water,None
415,Cherubi,35,45,45,Sinnoh,62,53,35,Grass,None
416,Cherrim,60,70,70,Sinnoh,87,78,85,Grass,None
417,Shellos,48,48,76,Sinnoh,57,62,34,Water,None
418,Gastrodon,83,68,111,Sinnoh,92,82,39,Water,Ground
419,Ambipom,100,66,75,Sinnoh,60,66,115,Normal,None
420,Drifloon,50,34,90,Sinnoh,60,44,70,Ghost,Flying
421,Drifblim,80,44,150,Sinnoh,90,54,80,Ghost,Flying
422,Buneary,66,44,55,Sinnoh,44,56,85,Normal,None
423,Lopunny,76,84,65,Sinnoh,54,96,105,Normal,None
424,Mismagius,60,60,60,Sinnoh,105,105,105,Ghost,None
425,Honchkrow,125,52,100,Sinnoh,105,52,71,Dark,Flying
426,Glameow,55,42,49,Sinnoh,42,37,85,Normal,None
427,Purugly,82,64,71,Sinnoh,64,59,112,Normal,None
428,Chingling,30,50,45,Sinnoh,65,50,45,Psychic,None
429,Stunky,63,47,63,Sinnoh,41,41,74,Poison,Dark
430,Skuntank,93,67,103,Sinnoh,71,61,84,Poison,Dark
431,Bronzor,24,86,57,Sinnoh,24,86,23,Steel,Psychic
432,Bronzong,89,116,67,Sinnoh,79,116,33,Steel,Psychic
433,Bonsly,80,95,50,Sinnoh,10,45,10,Rock,None
434,Happiny,5,5,100,Sinnoh,15,65,30,Normal,None
