name,formed,dissipated,mph,damage,deaths
Mangkhut,9/6/18,9/17/18,125,3.77B,134
Yutu,10/21/18,11/3/18,130,854.1M,29
San Ciriaco,08/03/1899,09/12/1899,150,20M,3855
San Liborio,7/22/26,8/2/26,140,7.85M,287
San Ciprian,9/25/32,10/2/32,145,30M,225
Betsy,8/9/56,8/18/56,120,50M,36
Hortense,9/3/96,9/16/96,140,158M,39
Maria,9/16/17,10/2/17,175,91.61B,3059
Marilyn,9/12/95,9/30/95,115,2.5B,13
Lenny,11/13/99,11/23/99,155,785.8M,17
Omar,10/13/08,10/21/08,130,80M,1
