name,formed,dissipated,mph,damage,deaths
Carmen,08/29/1974,09/10/1974,150,162M,8
Babe,09/03/1977,09/09/1977,75,13M,0
Bob,07/09/1979,07/16/1979,75,20M,1
Danny,08/12/1985,08/18/1985,90,100M,2
Juan,10/26/1985,11/03/1985,85,1.5B,12
florence,09/07/1988,09/11/1988,80,2.9M,1
Lili,09/21/2002,10/04/2002,145,1.16B,13
Cindy,07/03/2005,07/12/2005,75,320M,1
Humberto,09/12/2007,09/14/2007,90,50M,1
Gustav,08/25/2008,09/07/2008,150,8.31B,112
Isaac,08/21/2012,09/03/2012,80,3.11B,34
Nate,10/04/2017,10/11/2017,90,787M,48
Belle,08/06/1976,08/15/1976,120,100M,12
Sandy,10/22/2012,11/02/2012,115,68.7B,233
Barbara,08/11/1953,08/16/1953,90,1.3M,9
Hazel,10/05/1954,10/18/1954,130,382M,591
Ione,09/10/1955,09/21/1955,140,88M,7
Helene,09/21/1958,10/04/1958,150,11.4M,1
Ginger,09/10/1971,10/07/1971,110,10M,1
Diana,09/08/1984,09/16/1984,130,65.5M,3
Hugo,09/10/1989,09/25/1989,160,10.3B,60
Emily,08/22/1993,09/06/1993,115,35M,3
Bertha,07/05/1996,07/18/1996,115,335M,12
Fran,08/23/1996,09/10/1996,120,5B,22
Bonnie,08/19/1998,08/30/1998,115,1B,5
Floyd,09/07/1999,09/19/1999,155,6.5B,76
Isabel,09/06/2003,09/20/2003,165,5.5B,16
Alex,07/31/2004,08/06/2004,120,7.5M,1
Ophelia,09/06/2005,09/23/2005,85,70M,1
Irene,08/21/2011,08/30/2011,120,14.2B,49
Florence,08/31/2018,09/18/2018,150,24.23B,24
Esther,09/10/1961,09/27/1961,145,6M,0
Able,08/18/1952,09/02/1952,105,2.75M,3
Cindy,07/05/1959,07/11/1959,75,75K,1
Gracie,09/20/1959,09/30/1959,140,14M,22
Bob,07/21/1985,07/26/1985,75,20M,5
Gaston,08/27/2004,09/03/2004,75,130M,8
Debra,07/23/1959,07/28/1959,85,7M,0
Carla,09/03/1961,09/17/1961,175,325.74M,43
Beulah,09/05/1967,09/22/1967,160,234.6M,59
Celia,07/31/1970,08/05/1970,125,930M,27
Fern,09/03/1971,09/13/1971,90,30.2M,2
Allen,07/31/1980,08/11/1980,190,1.57B,269
Alicia,08/15/1983,08/21/1983,115,3B,21
Bonnie,06/23/1986,06/28/1986,85,42M,4
Chantal,07/30/1989,08/03/1989,80,100M,13
Jerry,10/12/1989,10/16/1989,85,70M,3
Bret,08/18/1999,08/25/1999,145,15M,1
Claudette,07/08/2003,07/17/2003,90,181M,1
Dolly,07/20/2008,07/27/2008,100,1.6B,1
Ike,09/01/2008,09/15/2008,145,38B,214
Harvey,08/17/2017,09/02/2017,130,125B,68
Dot,08/01/1959,08/08/1959,150,6M,2
Iwa,11/19/1982,11/25/1982,90,312M,1
Iniki,09/05/1992,09/13/1992,145,3.1B,6
Tusi,01/13/1987,01/25/1987,90,80M,0
Ofa,01/27/1990,02/10/1990,115,187M,8
Val,12/04/1991,12/17/1991,105,381M,17
Heta,12/25/2003,01/08/2004,130,113M,1
Olaf,02/10/2005,02/25/2005,130,10M,0
Karen,11/07/1962,11/18/1962,185,250M,11
Pamela,05/14/1976,06/01/1976,150,500M,11
Roy,01/07/1988,01/19/1988,100,28.5M,2
Yuri,11/17/1991,12/03/1991,140,36M,0
Omar,08/23/1992,09/09/1992,115,561.2M,15
Paka,11/28/1997,12/23/1997,115,580M,0
Chataan,06/27/2002,07/13/2002,110,660M,54
Pongsona,12/02/2002,12/12/2002,105,730M,1
Dolphin,05/06/2015,05/24/2015,115,13.5M,1
Lynn,10/14/1987,10/28/1987,120,32.3M,49
Mireille,09/13/1991,10/04/1991,115,10B,64
Keith,10/26/1997,11/11/1997,125,15M,0
Chaba,08/18/2004,09/05/2004,125,2B,20
Vongfong,10/02/2014,10/18/2014,130,160.6M,9
Soudelor,07/29/2015,08/12/2015,130,4.09B,59
Mangkhut,09/06/2018,09/17/2018,125,3.77B,134
Yutu,10/21/2018,11/03/2018,130,854.1M,29
San Ciriaco,08/03/1899,09/12/1899,150,20M,3855
San Liborio,07/22/1926,08/02/1926,140,7.85M,287
San Ciprian,09/25/1932,10/02/1932,145,30M,225
Betsy,08/09/1956,08/18/1956,120,50M,36
Hortense,09/03/1996,09/16/1996,140,158M,39
Maria,09/16/2017,10/02/2017,175,91.61B,3059
Marilyn,09/12/1995,09/30/1995,115,2.5B,13
Lenny,11/13/1999,11/23/1999,155,785.8M,17
Omar,10/13/2008,10/21/2008,130,80M,1
